Sign ID,Sign / phenotype feature,Domain,Data type / source,Phenotype role,Pre-test usability,Amyloidosis suspicion importance (1-5),ATTRwt subtype distinguisher importance (1-5),Direction for ATTRwt,Evidence confidence,Evidence class,Typical timing vs diagnosis,Population / context,Quantitative / comparative evidence,Why it matters for suspicion,Key overlap / mimic / guardrail,Combination that strengthens interpretation,Threshold / criterion status,EHR detectability,Likely EHR location,Example structured fields / NLP terms,Recommended use in phenotype model,Primary source,Supporting source,NotebookLM assessment / correction,Composite pre-test priority score (0-100),Rank,Priority tier,Evidence confidence points (1-5),Pre-test usability points (1-5),EHR detectability points (1-5),Phenotype role / actionability points (1-5),ATTRwt direction multiplier,Ranking interpretation
WT13,Late-onset HCM phenotype / asymmetric septal hypertrophy without a convincing sarcomeric explanation,Cardiac imaging / diagnostic history,Diagnosis + echocardiogram/CMR,Cardiac red flag / mimic,Yes,4.5,4,Supports cardiac amyloidosis; ATTRwt often found,High,Tertiary HCM referral cohort,At or before amyloid recognition,"Adults with newly recognized HCM phenotype, particularly older age","Among 343 adults referred with an initial HCM diagnosis, 9% ultimately had cardiac amyloidosis; CA prevalence rose to 21% at 70–79 and 26% ?80, including 17 ATTRwt cases.",Corrects the false assumption that amyloid hypertrophy must be purely concentric.,Sarcomeric HCM and hypertensive remodeling remain common; cohort was referral-enriched.,Late-onset HCM + CTS/LSS/AF/conduction disease or low-voltage/mass discordance,No universal age cutoff; evidence specifically says age should raise suspicion but does not mandate testing alone.,High,Problem list; echo/CMR,HCM; asymmetric septal hypertrophy; basal septal hypertrophy,High-value cardiac-mimic trigger in older adults.,https://pubmed.ncbi.nlm.nih.gov/31371117/,https://pubmed.ncbi.nlm.nih.gov/35343098/,AGREE: this was missing. CORRECTION: NotebookLM's exact 23–25% asymmetric figure is cohort-dependent; the robust message is that asymmetric/HCM morphology does not exclude ATTR.,69.4,10,Tier 3 - moderate,5,5,5,4,0.8,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT06,"Hip or knee arthroplasty years before cardiac disease, especially multiple/bilateral large-joint replacements",Musculoskeletal / joint,Surgical history,Supporting extracardiac red flag,Yes,3,4,Supports ATTR/ATTRwt,Moderate-High,Comparative cardiac amyloid cohort,Mean ~7 years before ATTR cardiac diagnosis in one cohort,Older adult with later cardiac ATTR red flags,"In a cardiac amyloid cohort, THA and TKA were more common in ATTR than population controls (relative risks ~5.6 and ~3.3), and arthroplasty preceded ATTR cardiac diagnosis by mean 7.2 years.",Adds an underused surgical-history clue to the orthopedic prodrome.,"Evidence was ATTR broadly, not strictly ATTRwt; arthroplasty is common from osteoarthritis.",Multiple/bilateral arthroplasties + CTS/LSS + later HFpEF/LVH,No validated arthroplasty count or latency threshold for ATTRwt.,High,Procedure history; orthopedic notes,THA; TKA; total hip replacement; total knee replacement; bilateral arthroplasty,Supportive cluster feature; do not rank as highly as bilateral/recurrent CTS or biceps rupture.,https://pubmed.ncbi.nlm.nih.gov/28906148/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9775219/,"PARTLY AGREE: add it, but NotebookLM over-attributes an ATTR-wide cohort specifically to ATTRwt.",69.1,12,Tier 3 - moderate,4.5,5,5,4,0.9,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT14,"Severe aortic stenosis, particularly low-flow/low-gradient AS with additional amyloid red flags",Cardiac / valvular,Diagnosis + echocardiogram,High-risk population,Yes,4,3,Supports ATTR-CM; ATTRwt plausible,High,Prospective multicenter cohort + meta-analysis,At valve evaluation / TAVR work-up,Older severe-AS population,"Screening studies consistently find a meaningful coexistence of CA in severe AS; meta-analyses support an enriched prevalence, predominantly ATTR.",Defines a clinical population in which other ATTRwt clues should be actively sought.,AS itself causes LVH/HF and is common in the elderly; not wild-type-specific.,Severe AS + CTS/LSS/AF/conduction disease + disproportionate wall thickening/low flow,Do not hard-code '30% in low-flow low-gradient' as universal; estimates vary by cohort and selection.,High,Problem list; echo; valve clinic,severe AS; low-flow low-gradient; TAVR/SAVR,"Population-enrichment feature, not a subtype-defining sign.",https://pubmed.ncbi.nlm.nih.gov/33181246/,https://pubmed.ncbi.nlm.nih.gov/38367883/,"AGREE WITH QUALIFICATION: active suspicion in AS is justified, but NotebookLM's 30% figure should not be treated as a general rate.",68,13,Tier 3 - moderate,5,5,5,4,0.9,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT16,Voltage-to-mass discordance and/or pseudoinfarction pattern; normal voltage must not rule out ATTRwt,Cardiac electrical,ECG + echocardiogram,Cardiac red flag / false-negative guardrail,Yes,4,3.5,Supports cardiac amyloidosis; ATTRwt possible,High,Guideline/review + cohort literature,Near cardiac presentation,Older patient with increased wall thickness,Low voltage is not present in most ATTRwt patients; pseudoinfarction/Q-wave patterns and conduction abnormalities are common reported findings.,"The key signal is mismatch between electrical voltage and myocardial mass, not 'low voltage required'.",AL also produces low voltage/pseudoinfarction; prior MI can mimic Q waves.,Discordant ECG + LV thickening + orthopedic ATTRwt history,Do not use absence of low voltage as negative evidence against ATTRwt.,High,ECG + echo,low QRS voltage; pseudoinfarction; Q waves V1-V3; voltage/mass discordance,Use as cardiac-amyloid evidence and explicit false-negative guardrail.,https://pubmed.ncbi.nlm.nih.gov/33825853/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8274453/,AGREE STRONGLY with correcting the low-voltage myth. Exact 60–63% pseudoinfarction rates are cohort-dependent.,64.7,14,Tier 3 - moderate,5,5,5,4,0.8,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT15,Relative apical sparing of longitudinal strain,Cardiac imaging,Routine echocardiogram with strain,Cardiac red flag,Yes if obtained for routine care,4.5,2.5,Supports cardiac amyloidosis; weak ATTRwt discriminator,High,Validation cohort + imaging literature,Usually near cardiac recognition,Thick-wall HF/HCM phenotype,"ATTR-CM cohorts commonly demonstrate relative apical sparing, though prevalence and performance vary across cohorts and software.",Useful for raising amyloidosis suspicion from an ordinary echo.,AL can also show apical sparing; it cannot establish ATTRwt.,Apical sparing + orthopedic prodrome + AF/conduction disease,No single strain ratio should be used as a stand-alone ATTRwt diagnostic threshold.,High,Echo strain report,relative apical sparing; RELAPS; GLS,"High amyloid-suspicion score, deliberately lower subtype score.",https://pubmed.ncbi.nlm.nih.gov/39679323/,https://pubmed.ncbi.nlm.nih.gov/33825853/,"AGREE AS A CARDIAC AMYLOID CLUE, not as an ATTRwt discriminator.",62.4,15,Tier 3 - moderate,5,5,5,4,0.8,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT18,"Long-standing hypertension becoming unexpectedly normal/low, or new intolerance of standard HF/antihypertensive therapy",Cardiovascular history,Longitudinal vitals + medication history,Historical cardiac red flag,Yes,3.5,3.5,Supports ATTR cardiac amyloidosis,Moderate,Consensus/review evidence,Can emerge as cardiomyopathy progresses,"Previously hypertensive older adult with falling BP, syncope or medication de-escalation",Expert cardiac amyloidosis literature recognizes hypotension and intolerance of ACEi/ARB/beta-blockers as clues as restrictive physiology advances.,Longitudinal medication/BP history may be visible before amyloid work-up and is often overlooked.,"Frailty, dehydration, autonomic disease, CKD and medication changes can cause the same pattern; not wild-type-specific.",Falling BP/intolerance + LVH/HFpEF + orthopedic ATTR history,No validated magnitude of BP fall or medication-count threshold.,Moderate,Vitals; medication lists; cardiology notes,de-escalated antihypertensives; hypotension; beta-blocker intolerance; ACEi/ARB intolerance,Moderate supporting feature; use longitudinally and in combination.,https://pmc.ncbi.nlm.nih.gov/articles/PMC8274453/,https://pubmed.ncbi.nlm.nih.gov/33825853/,"AGREE AS A HISTORICAL CLUE, but NotebookLM overstates it if treated as a high-specificity ATTRwt sign.",60.7,16,Tier 3 - moderate,3.5,5,3.5,4,0.8,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT17,Reduced myocardial contraction fraction (MCF) despite preserved or mildly reduced LVEF,Cardiac imaging / derived measure,Echocardiogram-derived metric,Supporting cardiac clue / research feature,Yes if obtainable from routine echo,3.5,3,Supports ATTR cardiac involvement,Moderate-High,Large THAOS prognostic cohort + cardiac amyloid studies,Usually established cardiac involvement,Patient with suspected infiltrative HF where EF seems deceptively preserved,"In 530 THAOS ATTR subjects (158 ATTRwt), MCF <25% strongly predicted mortality and outperformed EF for prognosis.",MCF captures reduced myocardial shortening despite apparently preserved EF and may help reveal infiltrative physiology.,Evidence is stronger for prognosis/functional characterization than for pre-test ATTRwt diagnosis.,Low MCF + LV thickening/RWT + orthopedic/electrical red flags,NotebookLM's MCF <35% as a screening cutoff is not established here; THAOS prognostic work used <25%.,Moderate,Echo measurements / derived analytics,stroke volume; myocardial volume; MCF,Research-supportive derived feature; do not make it a Tier-1 screening cutoff.,https://pubmed.ncbi.nlm.nih.gov/30010028/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8274453/,"PARTLY AGREE: include MCF, but downgrade it. Evidence supports physiologic/prognostic value more strongly than a validated pre-test diagnostic threshold.",58.2,17,Tier 3 - moderate,4.5,4,3.5,3.5,0.8,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT07,"Trigger finger / digit-trigger release, especially multiple digits or combined with CTS",Musculoskeletal / tenosynovial,Diagnosis + surgical history,Supporting extracardiac red flag,Yes,3,3.5,Supports ATTR,Moderate-High,Large population cohort + musculoskeletal review,Can precede systemic diagnosis,"Older adult, especially with other tenosynovial manifestations","Population data found subsequent amyloidosis risk elevated after trigger release (sHR ~4.8), higher after CTS release and highest when both procedures occurred.",Useful as a marker of broader tenosynovial disease rather than a standalone sign.,Outcome was amyloidosis broadly; not ATTRwt-specific. Trigger finger is common.,Multiple trigger fingers/trigger release + bilateral CTS + later cardiac red flags,No ATTRwt-specific universal biopsy prevalence or time threshold should be encoded.,High,Hand surgery; problem list,trigger finger; stenosing tenosynovitis; trigger release,Low-moderate standalone weight; meaningful as part of a tenosynovial cluster.,https://pubmed.ncbi.nlm.nih.gov/35346527/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9775219/,"PARTLY AGREE: include as cluster evidence, but do not convert general amyloidosis associations into an ATTRwt-specific effect size.",56.6,18,Tier 3 - moderate,4.5,5,5,4,0.8,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT19,Low BNP-to-LV mass index ratio relative to AL (experimental comparative feature),Cardiac laboratory + imaging,Routine BNP + echo-derived LVMI,Experimental discriminator,Only if obtained independently of amyloid work-up,3,3.5,Supports TTR over AL; ATTRwt plausible,Moderate,Small direct TTR-vs-AL comparative cohort,At cardiac presentation,Patient with cardiac amyloid phenotype and both BNP and LVMI available,Small study: BNP/LVMI 2.9 in TTR vs 6.7 in AL; ratio <3.5 had sensitivity 71% and specificity 83% for TTR.,Potentially useful comparative signal reflecting greater mass relative to biomarker elevation in TTR.,"Study was small and compared TTR broadly, not ATTRwt specifically; renal function and assay/context influence BNP.",Low BNP/LVMI + orthopedic ATTR phenotype and no strong AL renal/mucocutaneous pattern,Experimental; do not use <3.5 as a validated clinical ATTRwt cutoff.,Moderate,Labs + echo,BNP; LV mass index; BNP/LVMI,"Research feature only; useful for model exploration, not clinical rule.",https://pubmed.ncbi.nlm.nih.gov/26251157/,https://pubmed.ncbi.nlm.nih.gov/33825853/,"PARTLY AGREE: real comparative result, but NotebookLM presents it too strongly and too specifically as ATTRwt.",54.9,19,Tier 4 - low,3.5,4,3.5,3,0.8,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
WT08,Rotator cuff tear/repair or other shoulder pathology as part of an orthopedic cluster,Musculoskeletal / shoulder,Diagnosis + imaging + surgical history,Supporting extracardiac red flag,Yes,2.5,3,Supports ATTR modestly,Moderate,Comparative cardiac amyloid cohort + review,May precede cardiac diagnosis; exact latency uncertain,Older adult with other ATTR orthopedic clues,Shoulder pathology is more common in ATTR cardiac amyloidosis than AL/general populations in comparative studies; published data support an association but are less mature than CTS.,Can strengthen a broad connective-tissue/soft-tissue phenotype.,Very common degenerative condition; weak specificity and less clear timing.,Shoulder disease + bilateral CTS/LSS/biceps rupture + later cardiac disease,No validated rotator-cuff threshold; exact 9.9% figures are cohort-specific.,High,Orthopedic notes; MRI; procedures,rotator cuff tear; shoulder arthroplasty; rotator cuff repair,Use only as a low-weight cluster enhancer.,https://pubmed.ncbi.nlm.nih.gov/36566619/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9775219/,AGREE ONLY AS SUPPORTIVE: NotebookLM gives this more specificity than the evidence justifies.,49.9,20,Tier 4 - low,3.5,5,5,4,0.8,"ATTRwt-oriented feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability."
