Sign ID,Sign / phenotype feature,Domain,Data type / source,Phenotype role,Pre-test usability,Amyloidosis suspicion importance (1-5),ATTRv subtype distinguisher importance (1-5),Direction for ATTRv,Evidence confidence,Evidence class,Typical timing vs diagnosis,Population / context,Quantitative / comparative evidence,Why it matters for suspicion,Key overlap / mimic / guardrail,Combination that strengthens interpretation,Threshold / criterion status,EHR detectability,Likely EHR location,Example structured fields / NLP terms,Recommended use in phenotype model,Primary source,Supporting source,NotebookLM assessment / correction,Composite pre-test priority score (0-100),Rank,Priority tier,Evidence confidence points (1-5),Pre-test usability points (1-5),EHR detectability points (1-5),Phenotype role / actionability points (1-5),ATTRv direction multiplier,Ranking interpretation,
V09,Orthostatic hypotension / recurrent orthostatic intolerance,Autonomic / cardiovascular,Orthostatic vitals / diagnosis,Early autonomic red flag,Yes,4,4,Supports ATTRv strongly,High,Consensus + comparative ATTR cohorts,Can occur early,Unexplained neuropathy or mixed phenotype,Orthostatic hypotension is a principal ATTRv red flag and has been associated with hereditary rather than wild-type ATTR in comparative cohorts.,Easy-to-capture routine evidence of autonomic involvement.,"Diuretics, dehydration, antihypertensives and diabetic autonomic neuropathy can mimic.",Orthostasis + painful/axonal PN + GI/urinary/sexual autonomic features,Use standard clinical orthostatic definitions; medication context is essential.,High,Vitals; problem list; cardiology/neurology notes,orthostatic hypotension; postural BP drop; dizziness on standing,Strong supporting feature within an autonomic cluster.,https://pubmed.ncbi.nlm.nih.gov/31907599/,https://pubmed.ncbi.nlm.nih.gov/31473866/,AGREE: retain.,87,11,Tier 1 - highest,5,5,5,4.5,1,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V10,"Alternating diarrhea/constipation, chronic diarrhea, or otherwise unexplained GI dysmotility",Gastrointestinal / autonomic,Symptoms / diagnosis,Early autonomic red flag,Yes,4,4,Supports ATTRv strongly,High,Consensus + reviews,Can be early,Neuropathy or multisystem phenotype,Alternating diarrhea/constipation and dysmotility are classic ATTRv red flags and are more frequent in ATTRv than cardiac-dominant ATTRwt cohorts.,Provides a second autonomic domain and can precede recognition of neuropathy.,"IBS, IBD, celiac disease, medications and AL can mimic; NotebookLM's 'absence of abdominal pain' is not a validated universal rule.",GI dysmotility + progressive PN + weight loss/orthostasis,No symptom-frequency or 'no abdominal pain' criterion is validated.,High,GI notes; problem list,alternating diarrhea constipation; chronic diarrhea; dysmotility,Strong multisystem feature; focus on chronicity and unexplained pattern.,https://pubmed.ncbi.nlm.nih.gov/26663427/,https://pubmed.ncbi.nlm.nih.gov/20301373/,"AGREE WITH CORRECTION: keep IBS/chronic-diarrhea mimicry, reject absence of abdominal pain as a hard rule.",87,11,Tier 1 - highest,5,5,5,4.5,1,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V11,Gastroparesis / delayed gastric emptying / early satiety / recurrent nausea-vomiting,Gastrointestinal / autonomic,Symptoms / routine GI testing,Early autonomic red flag,Yes,4,4,Supports ATTRv strongly,High,GeneReviews + expert recommendations,Can be early,Neuropathy/autonomic phenotype,Delayed gastric emptying and upper-GI dysmotility are recognized autonomic manifestations.,Adds coherence to a multisystem autonomic phenotype.,"Diabetes, medications, functional GI disorders and AL are important mimics.",Gastroparesis/early satiety + neuropathy + orthostasis/weight loss,No amyloid-specific gastric-emptying threshold.,High,GI notes; gastric emptying report,gastroparesis; delayed gastric emptying; early satiety,Strong supporting feature in autonomic cluster.,https://pubmed.ncbi.nlm.nih.gov/20301373/,https://pubmed.ncbi.nlm.nih.gov/38174864/,AGREE: retain.,87,11,Tier 1 - highest,5,5,5,4.5,1,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V16,Scalloped pupil / characteristic pupillary or iris abnormality,Ocular,Ophthalmology exam,Strong subtype clue,Yes,3,5,Strongly supports ATTRv,High,Systematic review + GeneReviews,Usually during ocular involvement,Ocular-prone ATTRv variants,Scalloped pupil is an unusual hereditary TTR ocular sign reported across ATTRv ocular series.,Rare but comparatively subtype-oriented.,Low sensitivity and examiner dependence; other pupillary disorders exist.,Scalloped pupil + vitreous disease + neuropathy/family history,No universal threshold; specialist documentation required.,Moderate,Ophthalmology notes,scalloped pupil; irregular pupil; amyloid iris,"High discriminator, low sensitivity.",https://pubmed.ncbi.nlm.nih.gov/42078187/,https://pubmed.ncbi.nlm.nih.gov/20301373/,AGREE: retain.,85.5,14,Tier 1 - highest,5,5,3.5,4.5,1,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V12,Unintentional weight loss / declining BMI or mBMI,Systemic / GI,Longitudinal weights + symptom history,Supporting systemic clue,Yes,4,4,Supports ATTRv strongly,High,Consensus + review,Can precede or accompany neuropathy,Neuropathy/autonomic phenotype,Weight loss is repeatedly included among ATTRv red-flag clusters and often accompanies GI/autonomic involvement.,Longitudinal weight decline can be a useful objective EHR feature.,"AL, cancer, infection and many GI disorders also cause weight loss.",Weight loss + GI dysmotility + neuropathy/autonomic signs,No universal percentage-loss or mBMI cutoff for screening.,High,Weights; nutrition notes; problem list,unintentional weight loss; BMI decline; cachexia,Moderate-strong feature in a multisystem cluster.,https://pubmed.ncbi.nlm.nih.gov/26663427/,https://pubmed.ncbi.nlm.nih.gov/37869146/,AGREE: retain; avoid disease-specific cutoff claims.,85,15,Tier 1 - highest,5,5,5,3.5,1,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V17,Persistent microalbuminuria in a known TTR carrier,Renal / carrier surveillance,Routine urine lab,Carrier conversion clue,Only if already known,4,4,Supports ATTRv strongly,Moderate-High,Prospective carrier cohort,May precede overt neuropathy/nephropathy,Known p.Val50Met/TTR carriers,"In a p.Val50Met cohort, persistent microalbuminuria occurred in 36% of asymptomatic carriers and was associated with a 4.8-fold risk of developing neuropathy, usually within 3 years.",This is legitimate early evidence in a defined carrier population.,"Evidence is old and genotype-specific; diabetes/HTN also cause albuminuria, so it is not a general-population ATTRv rule.",Known carrier + persistent microalbuminuria + subtle neurologic/autonomic change,Do not generalize the p.Val50Met cohort cadence/cutoffs to all variants.,High,Urine laboratory,UACR; microalbumin; albuminuria,Useful carrier-surveillance feature; lower weight in unselected patients.,https://pubmed.ncbi.nlm.nih.gov/12584275/,https://pubmed.ncbi.nlm.nih.gov/20301373/,"AGREE WITH RESTRICTION: strong for carrier surveillance, not a universal ATTRv renal screening rule.",83.5,16,Tier 2 - high,4.5,4,5,4.5,1,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V13,"Bilateral or recurrent carpal tunnel syndrome, especially persistent/recurrent symptoms after release",Musculoskeletal / neurologic,Diagnosis + surgical history,Extracardiac red flag,Yes,4,4,Supports ATTRv,High,Guideline + variant cohort + cross-type cohort,Can precede length-dependent neuropathy by years,ATTRv neuropathy or mixed phenotype,"TTR-FAP guidelines note lack of improvement/progression after CTS release can precede correct diagnosis; in A97S, 43.3% had CTS before length-dependent symptoms.",Recurrent/persistent median-nerve symptoms are more informative than an isolated common CTS code.,CTS is strongly associated with ATTRwt and common in the general population; it does not distinguish ATTRv from ATTRwt by itself.,Recurrent/bilateral CTS + neuropathy/autonomic/family/ocular clues,No validated recurrence count or surgery interval threshold.,High,Problem list; hand-surgery history,bilateral CTS; recurrent CTS; carpal tunnel release; persistent numbness after release,"Moderate ATTRv positive feature; high ATTR-general value, subtype interpretation depends on neurologic/family context.",https://pubmed.ncbi.nlm.nih.gov/35153720/,https://pubmed.ncbi.nlm.nih.gov/31975495/,"AGREE AND UPGRADE RECURRENCE: keep, but explicitly state it is ATTR-general and not ATTRv-specific.",81.7,17,Tier 2 - high,5,5,5,4,0.95,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V24,Cardiomyopathy / HFpEF / unexplained increased LV wall thickness,Cardiac,Diagnosis + routine echocardiogram,Cardiac component,Yes,5,3,Supports ATTRv,High,GeneReviews + registry/consensus,May be first or later manifestation,Cardiac-dominant or mixed TTR variants,Non-p.Val50Met carriers can present first with cardiac disease; ATTRv may be cardiac-predominant and late-onset.,Prevents a neuropathy-only screening model from missing hereditary cardiac variants.,ATTRwt and AL strongly overlap; cardiac phenotype alone cannot assign ATTRv.,Cardiac phenotype + family history/neuropathy/dysautonomia/ocular sign,"Routine echo red flags are amyloidosis clues, not ATTRv-specific thresholds.",High,Cardiology problem list; echo report,HFpEF; LVH; increased wall thickness; cardiomyopathy,"High amyloidosis importance, moderate ATTRv subtype weight.",https://pubmed.ncbi.nlm.nih.gov/20301373/,https://pubmed.ncbi.nlm.nih.gov/35730447/,AGREE: retain; phenotype must remain mutation-aware.,81.7,17,Tier 2 - high,5,5,5,4,0.95,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V18,Rising serum/plasma neurofilament light chain (NfL) in a known carrier or unexplained neuropathy work-up,Neurologic biomarker,Specialized blood biomarker,Specialized early marker,Only if already known,4,4,Supports ATTRv strongly,High,Longitudinal carrier biomarker cohorts,May rise before clinically confirmed neuropathy,Known carriers / specialist neuropathy programs,Longitudinal studies show NfL rises around phenoconversion; one cohort observed increases before symptoms and before neurophysiologic confirmation.,NfL is one of the strongest emerging objective early markers of axonal injury in ATTRv.,NfL is nonspecific for ATTRv and assay/cutoffs vary; it is not a routine population screening lab.,Known carrier + rising NfL + subtle sensory/autonomic findings,Do not encode a universal pg/mL cutoff; published thresholds differ by cohort/assay. Trend may be more transportable.,Low,Specialty laboratory; neurology notes,neurofilament light chain; NfL; sNfL,Specialized carrier/neuropathy-monitoring feature; not a general EHR prerequisite.,https://pubmed.ncbi.nlm.nih.gov/38477065/,https://pubmed.ncbi.nlm.nih.gov/38348665/,"AGREE WITH CORRECTION: include, but as specialized carrier/neuropathy monitoring and avoid universal thresholds.",81,19,Tier 2 - high,5,4,2,4,1,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V19,Reduced electrochemical skin conductance on SUDOSCAN,Autonomic / small-fiber,Specialized physiologic test,Specialized early marker,Only if already known,4,4,Supports ATTRv strongly,Moderate-High,Carrier/patient diagnostic cohort,Can detect early sudomotor dysfunction,Known carriers or suspected ATTRv-PN,"In p.Val50Met cohorts, foot ESC discriminated symptomatic ATTRv from asymptomatic carriers with high sensitivity/specificity; performance varies by phenotype.","Objective, non-invasive measure of sudomotor small-fiber dysfunction.",Abnormal ESC is not specific to ATTRv and cutoffs vary by device/cohort; ATTRwt and diabetes can also affect sudomotor function.,Reduced ESC + neuropathy/autonomic symptoms + carrier/family context,Do not hard-code a universal µS cutoff; published thresholds vary.,Moderate,Neurology/autonomic test reports,SUDOSCAN; electrochemical skin conductance; ESC,Specialized early-marker row; useful when already performed.,https://pubmed.ncbi.nlm.nih.gov/38261153/,https://pubmed.ncbi.nlm.nih.gov/31473866/,"AGREE: include, but lower than routine clinical red flags because it is specialized and not subtype-specific by itself.",81,19,Tier 2 - high,4.5,4,3.5,4,1,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V21,MR neurography abnormalities of peripheral nerves / lumbosacral plexus,Neurologic imaging,MR neurography / DTI,Specialized early marker,Yes if obtained for routine care,4,4,Supports ATTRv,Moderate-High,Prospective imaging cohorts,Can reveal subclinical or early nerve injury,Known carriers or unexplained neuropathy,MR neurography studies differentiate ATTRv-PN from asymptomatic carriers/controls and detect proximal nerve or plexus abnormalities.,Provides objective evidence of amyloid-associated nerve injury beyond routine NCS.,Specialized availability; abnormalities are not pathognomonic and studies are relatively small.,MRN abnormality + progressive neuropathy/family or autonomic context,No universal MRN threshold across sequences/centers.,Low,Radiology / neuroradiology report,MR neurography; plexus enlargement; sciatic nerve T2; DTI,Specialized supportive feature if already performed for neuropathy.,https://pubmed.ncbi.nlm.nih.gov/35438324/,https://pubmed.ncbi.nlm.nih.gov/37329346/,"AGREE: include, but do not claim it routinely precedes NCS in all patients.",77.4,21,Tier 2 - high,4.5,5,2,4,0.95,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V25,"Conduction disease, arrhythmia, or pacemaker in a compatible hereditary phenotype",Cardiac electrical,ECG / diagnosis / procedure history,Cardiac component,Yes,4,3,Supports ATTRv,High,Consensus + GeneReviews,Can accompany or precede other manifestations,Mixed/cardiac ATTRv,Cardiac conduction blocks and arrhythmias are recognized ATTRv manifestations.,Adds a cardiac domain to a neuropathy/family phenotype.,Age-related AF/block and ATTRwt overlap strongly.,Conduction disease + progressive PN/dysautonomia/family history,No subtype-specific ECG threshold.,High,ECG; pacemaker/device history,AV block; bundle branch block; atrial fibrillation; pacemaker,"Moderate supporting feature, strongest in multisystem context.",https://pubmed.ncbi.nlm.nih.gov/20301373/,https://pubmed.ncbi.nlm.nih.gov/31907599/,AGREE: retain.,76,22,Tier 2 - high,5,5,5,4,0.95,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V26,Erectile dysfunction accompanying other autonomic/neurologic symptoms,Autonomic / urogenital,History / diagnosis,Supporting systemic clue,Yes,3,4,Supports ATTRv,Moderate-High,Consensus + review,Can precede sensory neuropathy in some men,Men with unexplained dysautonomia,ATTRv reviews recognize erectile dysfunction as an autonomic manifestation and possible early feature.,Adds a second autonomic domain.,"Very common from vascular, endocrine, medication and psychogenic causes.",ED + orthostasis/GI dysmotility + PN,No screening cutoff; use only in cluster.,Moderate,Problem list; urology notes,erectile dysfunction; impotence,"Supporting feature, never standalone.",https://pubmed.ncbi.nlm.nih.gov/26663427/,https://pubmed.ncbi.nlm.nih.gov/31473866/,AGREE: retain as a cluster feature.,72.2,23,Tier 2 - high,4.5,5,3.5,3.5,0.95,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V28,"Bulbar symptoms: unexplained dysphagia, hoarseness, dysarthria or choking",Bulbar / cranial neurologic,Symptoms / ENT / swallowing evaluation,Variant-specific clue,Yes,3,4,Supports ATTRv,Moderate-High,Expert recommendations + genotype-specific cohort,Can be early in selected variants,Especially p.A117S/A97S and other bulbar-prone phenotypes,"In a p.A117S/A97S cohort, dysphagia occurred in 53.4% versus 2% in late-onset p.Val50Met and could appear early; expert recommendations list bulbar symptoms as less common manifestations.",Important because these symptoms may be misattributed to ENT or swallowing disorders.,"Strongly genotype-dependent; stroke, neurodegeneration, reflux and structural ENT disease are common alternatives.",Bulbar symptoms + neuropathy/CTS/cardiac/family context,Do not generalize the p.A117S frequency to all ATTRv variants.,Moderate,ENT; speech/swallow; neurology notes,dysphagia; hoarseness; dysarthria; choking,Moderate variant-specific signal.,https://pubmed.ncbi.nlm.nih.gov/35153720/,https://pubmed.ncbi.nlm.nih.gov/38174864/,"AGREE WITH QUALIFICATION: add, but label strongly variant-specific rather than a universal ATTRv red flag.",72.2,23,Tier 2 - high,4.5,5,3.5,3.5,0.95,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
V20,Abnormal cutaneous silent period (CSP) suggesting small-fiber dysfunction,Neurologic electrophysiology,Specialized electrophysiologic test,Specialized early marker,Only if already known,3,4,Supports ATTRv,Moderate,Small carrier study,Potentially presymptomatic/early,Known TTR carriers,A 2022 study specifically proposed CSP as a possible early marker of nerve damage in ATTRv carriers.,May detect thin-fiber dysfunction before routine large-fiber studies become abnormal.,Evidence base is small; CSP is not routine and is not ATTRv-specific.,Abnormal CSP + carrier status + subtle sensory/autonomic changes,No validated universal screening cutoff.,Low,Neurophysiology report,cutaneous silent period; CSP latency,Exploratory/specialized feature; lower priority than routine clinical signs.,https://pubmed.ncbi.nlm.nih.gov/35943637/,https://pubmed.ncbi.nlm.nih.gov/31907599/,"AGREE WITH DOWNGRADE: biologically plausible and published, but too specialized/small-study for a high tier.",67,25,Tier 3 - moderate,3.5,4,2,4,0.95,"ATTRv-supportive feature ranked using suspicion strength, subtype discrimination, evidence quality, pre-test usability, EHR detectability, and actionability.",
