Sign ID,Sign / phenotype feature,Domain,Data type / source,Phenotype role,Pre-test usability,Amyloidosis suspicion importance (1-5),AL subtype distinguisher importance (1-5),Direction for AL,Evidence confidence,Evidence class,Typical timing vs diagnosis,Population / context,Quantitative / comparative evidence,Why it matters for suspicion,Key overlap / mimic / guardrail,Combination that strengthens interpretation,Threshold / criterion status,EHR detectability,Likely EHR location,Example structured fields / NLP terms,Recommended use in phenotype model,Primary source,Supporting source,Composite pre-test priority score (0-100),Rank,Priority tier,Evidence confidence points (1-5),Pre-test usability points (1-5),EHR detectability points (1-5),Phenotype role / actionability points (1-5),AL direction multiplier,Ranking interpretation
AL17,Disproportionate NT-proBNP/BNP or troponin elevation,Cardiac lab,Routine cardiac biomarkers,Cardiac organ red flag,Context-dependent,4,3,Supports AL modestly,High,Consensus criteria + early-diagnosis guideline,"May precede overt HF, especially in monitored clone populations",MGUS/SMM/MM or unexplained dyspnea/HF,Consensus cardiac involvement includes NT-proBNP >332 ng/L in absence of renal failure/AF; biomarkers are central to AL cardiac assessment.,"Can reveal occult cardiac injury, but does not type amyloid.","Renal dysfunction, AF, ACS and ATTR-CM also elevate biomarkers.",Biomarker rise + monoclonal context or renal/multisystem AL pattern,">332 ng/L is an organ-involvement criterion with exclusions; Mayo staging cutoffs are prognostic, not pre-test diagnostic thresholds.",High,Labs; cardiology,NT-proBNP; BNP; troponin,"Moderate support, strongest in clonal-risk patients.",https://pubmed.ncbi.nlm.nih.gov/42099096/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13425172/,64.8,11,Tier 3 - moderate,5,5,5,4.5,0.8,Contextual/general amyloidosis evidence; useful mainly when combined with AL-oriented features.
AL06,Renal dysfunction / falling eGFR with proteinuria or monoclonal context,Renal,Routine chemistry / diagnosis,Supporting organ red flag,Yes,4,3,Supports AL modestly,High,Comparative EHR + renal guidance,Can precede diagnosis,New/progressive CKD with proteinuria,Matched EHR: CKD 43% AL vs 37% ATTRwt; renal signs common in prodrome.,Renal decline gains value with proteinuria and clonal context.,CKD alone is common and poorly discriminating.,eGFR decline + proteinuria + clone or another unexplained system,Use eGFR-aware FLC ranges in CKD; standard 0.26–1.65 should not be universally applied.,High,Chemistry; nephrology,creatinine; eGFR; CKD; proteinuria,Moderate feature; low weight if isolated CKD.,https://medinform.jmir.org/2026/1/e85803,https://pmc.ncbi.nlm.nih.gov/articles/PMC9470548/,64,12,Tier 3 - moderate,5,5,5,4,0.8,Contextual/general amyloidosis evidence; useful mainly when combined with AL-oriented features.
AL24,Symmetric peripheral sensorimotor neuropathy / sensory loss,Neurologic,Diagnosis / exam / EMG history,Neurologic organ red flag,Yes,4,3,Supports AL modestly,High,Comparative EHR + neuropathy review,Can precede diagnosis,Progressive unexplained neuropathy,Matched EHR: other polyneuropathies 21% AL vs 17% ATTRwt; neurologic involvement common in AL prodrome.,Adds a second/third organ system and may be early.,"ATTRv, diabetes, toxins and paraproteinemic neuropathies overlap.",Neuropathy + proteinuria/clonal history; absence of strong hereditary/autonomic phenotype,No EMG or sural-biopsy sensitivity should be used as a pre-test threshold; nerve biopsy is not screening.,High,Neurology; EMG/NCS,sensorimotor polyneuropathy; sensory loss; axonal neuropathy,Moderate AL feature; compare ATTRv actively.,https://medinform.jmir.org/2026/1/e85803,https://pubmed.ncbi.nlm.nih.gov/38923548/,64,12,Tier 3 - moderate,5,5,5,4,0.8,Contextual/general amyloidosis evidence; useful mainly when combined with AL-oriented features.
AL11,Persistent diarrhea / constipation / dysphagia,Gastrointestinal,Symptoms / diagnosis,Additional organ red flag,Yes,3,3,Supports AL modestly,High,Direct comparative EHR cohort,Can precede diagnosis,Persistent unexplained GI symptoms,Matched EHR: dysphagia 18% AL vs 10% ATTRwt; constipation 27% vs 18%; diarrhea 19% vs 11%.,Collectively more common before AL than ATTRwt.,ATTRv has prominent GI/autonomic disease; common GI disorders remain common.,GI symptoms + proteinuria/clonal context or multisystem accumulation,No AL-specific threshold.,High,Problem list; GI notes,diarrhea; constipation; dysphagia,Moderate AL-vs-ATTRwt discriminator.,https://medinform.jmir.org/2026/1/e85803,https://pubmed.ncbi.nlm.nih.gov/41603599/,58.4,14,Tier 3 - moderate,5,5,5,3.5,0.8,Contextual/general amyloidosis evidence; useful mainly when combined with AL-oriented features.
AL10,Early satiety / nausea-vomiting / unexplained abdominal pain,Gastrointestinal,Symptoms / diagnosis / routine GI work-up,Additional organ red flag,Yes,3,3,Supports AL modestly,Moderate-High,Comparative EHR + AL GI cohort,Can precede diagnosis,Persistent unexplained GI symptoms,Matched EHR: nausea/vomiting 20% AL vs 12% ATTRwt; abdominal pain also more common in AL.,Strengthens multisystem AL and helps distinguish from cardiac-dominant ATTRwt.,ATTRv and common GI disease overlap.,"GI symptoms + renal/clonal evidence, weight loss or neuropathy",No validated symptom-frequency cutoff; gastric-emptying studies are not required for pre-test screening.,High,GI notes; problem list,early satiety; nausea; vomiting; abdominal pain,Moderate cluster feature.,https://medinform.jmir.org/2026/1/e85803,https://pubmed.ncbi.nlm.nih.gov/41954624/,58,15,Tier 3 - moderate,4.5,5,5,4,0.8,Contextual/general amyloidosis evidence; useful mainly when combined with AL-oriented features.
AL18,Unexplained hepatomegaly and/or cholestatic ALP elevation,Hepatic,Routine labs + exam/imaging,Additional organ red flag,Yes,3,3,Supports AL modestly,Moderate-High,Consensus criteria + hepatic literature,Usually near systemic presentation,Multisystem disease or unexplained cholestasis,Consensus criteria: liver span >15 cm without HF or ALP >1.5×ULN after amyloid established elsewhere.,Adds another system to a systemic AL pattern.,"Congestive hepatopathy is a major confounder; liver disease, malignancy and AA overlap.",Hepatic abnormality + renal/clonal/cardiac evidence,">15 cm and >1.5×ULN are organ-involvement criteria, not validated standalone screening cutoffs; specificity of low ALP threshold has been questioned.",High,Chemistry; abdominal imaging; notes,alkaline phosphatase; hepatomegaly; liver span,Moderate supporting feature.,https://pmc.ncbi.nlm.nih.gov/articles/PMC10567953/,https://pubmed.ncbi.nlm.nih.gov/30770096/,58,15,Tier 3 - moderate,4.5,5,5,4,0.8,Contextual/general amyloidosis evidence; useful mainly when combined with AL-oriented features.
AL09,Unintentional weight loss / declining weight,Systemic / GI,Vitals + symptoms,Early overlooked clue,Yes,3,3,Supports AL modestly,Moderate-High,Scoping review + EHR,Can occur >1 year before diagnosis in some cohorts,Unexplained weight loss with GI/autonomic or multisystem disease,Matched EHR: weight loss 12% AL vs 8% ATTRwt.,Useful as longitudinal systemic clue when paired with organ signs.,"Malignancy, infection, ATTRv and many GI disorders overlap.","Weight loss + proteinuria, early satiety, neuropathy or clonal history",Do not impose >10% loss as a universal AL threshold.,High,Vitals; notes,weight loss; BMI trend,Moderate cluster feature.,https://medinform.jmir.org/2026/1/e85803,https://pubmed.ncbi.nlm.nih.gov/41603599/,57.2,17,Tier 3 - moderate,4.5,5,5,3.5,0.8,Contextual/general amyloidosis evidence; useful mainly when combined with AL-oriented features.
AL14,Unexplained heart failure / HFpEF,Cardiac,Diagnosis / clinical history,Cardiac amyloidosis red flag,Yes,5,2,Amyloidosis-general,High,Comparative EHR + guideline,Can precede diagnosis,"Unexplained HF, especially with LV thickening",Matched EHR: HF 45% AL vs 72% ATTRwt.,"Strong reason to consider cardiac amyloidosis, but poor AL discriminator.",ATTRwt is more commonly preceded by HF; hypertension/valve disease are common mimics.,HF + nephrotic/clonal evidence supports AL; HF + CTS/AF/spinal stenosis favors ATTRwt,"Wall thickness >12 mm is an organ-involvement criterion when no other cause exists, not a universal HFpEF screening definition.",High,Problem list; cardiology,HFpEF; heart failure; restrictive cardiomyopathy,"High amyloid score, intentionally low AL subtype weight.",https://medinform.jmir.org/2026/1/e85803,https://pubmed.ncbi.nlm.nih.gov/42099096/,48,18,Tier 4 - low,5,5,5,4,0.6,Contextual/general amyloidosis evidence; useful mainly when combined with AL-oriented features.
AL15,Unexplained increased LV wall thickness / restrictive physiology on routine echocardiogram,Cardiac imaging,Echocardiogram,Cardiac amyloidosis red flag,Yes,5,2,Amyloidosis-general,High,Consensus/review,Often before amyloid-specific imaging,Unexplained LV thickening/restrictive physiology,AL and ATTR both produce infiltrative wall-thickening patterns; ATTR often has greater wall thickness.,Routine echo can convert nonspecific HF symptoms into infiltrative-cardiomyopathy suspicion.,"ATTRwt/ATTRv overlap; hypertension, AS and HCM mimic.",Echo red flag + renal/clonal AL context; orthopedic prodrome favors ATTRwt,">12 mm is a classic involvement criterion, not a sensitive universal screening threshold.",High,Echocardiography,wall thickness; restrictive filling; valve/septal thickening,Enter amyloidosis pathway; do not type AL.,https://pubmed.ncbi.nlm.nih.gov/42099096/,https://pubmed.ncbi.nlm.nih.gov/41603599/,48,18,Tier 4 - low,5,5,5,4,0.6,Contextual/general amyloidosis evidence; useful mainly when combined with AL-oriented features.
AL16,ECG low voltage / voltage-to-mass discordance / pseudoinfarction,Cardiac electrical,ECG,Cardiac amyloidosis red flag,Yes,4,2,Amyloidosis-general,High,Review/consensus,Near or before cardiac diagnosis,Thick-wall phenotype with unexpectedly low QRS voltage,Classic cardiac amyloidosis clue.,Supports infiltrative cardiomyopathy but not AL subtype.,AL and ATTR overlap; low voltage has incomplete sensitivity.,Low voltage + wall thickening + AL-oriented renal/clonal features,No single ECG criterion is sufficient for AL.,High,ECG report / waveform,low QRS voltage; pseudoinfarction; voltage-mass discordance,Amyloidosis trigger only.,https://pubmed.ncbi.nlm.nih.gov/32340017/,https://pubmed.ncbi.nlm.nih.gov/42099096/,43.8,20,Tier 4 - low,5,5,5,3.5,0.6,Contextual/general amyloidosis evidence; useful mainly when combined with AL-oriented features.
AL33,Unexplained cardiomyopathy / cardiomegaly without AL-oriented extracardiac features,Cardiac,Diagnosis / imaging,Cardiac amyloidosis red flag,Yes,4,2,Amyloidosis-general,High,Comparative EHR,Before diagnosis,Unexplained cardiomyopathy,Matched EHR: cardiomyopathy 24% AL vs 48% ATTRwt; cardiomegaly 30% vs 46%.,Raises amyloidosis suspicion but comparative frequency actually leans ATTRwt.,Hypertension/HCM/ischemia/valvular disease and ATTR are major alternatives.,Cardiomyopathy + proteinuria/clonal context makes AL more plausible,No subtype-specific threshold.,High,Cardiology; echo; imaging,cardiomyopathy; cardiomegaly,Low AL subtype weight.,https://medinform.jmir.org/2026/1/e85803,https://pubmed.ncbi.nlm.nih.gov/42099096/,43.2,21,Tier 4 - low,5,5,5,3,0.6,Contextual/general amyloidosis evidence; useful mainly when combined with AL-oriented features.
AL13,Autonomic dysfunction / orthostatic hypotension,Autonomic neurologic,Vitals + symptoms / diagnosis,Neurologic organ red flag,Yes,3,2,Amyloidosis-general,High,Comparative EHR + neuropathy review,Can occur before diagnosis,Unexplained dysautonomia with neuropathy/systemic disease,"Autonomic/hypotension diagnoses occur before AL diagnosis, but are not AL-specific.",Can signal systemic amyloid neuropathy.,ATTRv often has earlier/more prominent painful small-fiber and autonomic/GI disease; medications/diabetes mimic.,Autonomic dysfunction + proteinuria/clonal context supports AL; family/ocular/painful PN favors ATTRv,Routine orthostatic BP is pre-test usable; formal amyloid-directed autonomic testing is later-stage.,High,Vitals; neurology; cardiology,orthostatic hypotension; dysautonomia; syncope,"Amyloidosis red flag, low AL subtype weight.",https://medinform.jmir.org/2026/1/e85803,https://pubmed.ncbi.nlm.nih.gov/38923548/,40.8,22,Tier 4 - low,5,5,5,4,0.6,Contextual/general amyloidosis evidence; useful mainly when combined with AL-oriented features.
AL29,Hypotension / syncope / dizziness in a multisystem phenotype,Autonomic / cardiac,Vitals + diagnosis,Supporting systemic clue,Yes,3,2,Amyloidosis-general,Moderate-High,Comparative EHR,Can precede diagnosis,Unexplained low BP/syncope,Matched EHR: hypotension 25% AL vs 18% ATTRwt; syncope 19% vs 14%; dizziness 28% vs 24%.,Adds autonomic/cardiac systemic evidence.,"Very nonspecific; drugs, dehydration and arrhythmia mimic.",Hypotension/syncope + proteinuria/clonal context or neuropathy,No AL-specific numeric cutoff beyond routine definitions.,High,Vitals; problem list,hypotension; syncope; dizziness; orthostasis,Low-moderate cluster feature.,https://medinform.jmir.org/2026/1/e85803,https://pubmed.ncbi.nlm.nih.gov/34137077/,38.7,23,Tier 5 - weak,4.5,5,5,3,0.6,Contextual/general amyloidosis evidence; useful mainly when combined with AL-oriented features.
AL28,Pleural effusion or recurrent unexplained serosal fluid,Cardiopulmonary / systemic,Imaging / diagnosis,Supporting systemic clue,Yes,3,2,Amyloidosis-general,Moderate,Comparative EHR,Usually near cardiac/systemic disease,Unexplained recurrent effusion,Matched EHR: pleural effusion ~20% in both AL and ATTRwt with no meaningful subtype separation.,"Can support systemic/cardiac illness, but adds almost no AL-vs-ATTR information.","HF, malignancy, infection, renal/liver disease common.",Effusion + proteinuria/clonal/multisystem AL phenotype,No AL-specific threshold.,High,Chest imaging; problem list,pleural effusion; thoracentesis,Low-weight supporting feature.,https://medinform.jmir.org/2026/1/e85803,https://pubmed.ncbi.nlm.nih.gov/34137077/,37.8,24,Tier 5 - weak,4,5,5,3,0.6,Contextual/general amyloidosis evidence; useful mainly when combined with AL-oriented features.
AL20,Dyspnea / shortness of breath,Cardiopulmonary,Symptoms / diagnosis,Nonspecific prodromal clue,Yes,4,1,Nonspecific,High,Large prodrome + comparative EHR,Often early,HF/pulmonary/general presentation,Large prodrome cohort: dyspnea 59%; matched EHR: 48% AL vs 58% ATTRwt.,Can be early but is not AL-oriented.,"ATTRwt, lung disease, anemia and other HF etiologies overlap.",Dyspnea + renal/clonal evidence raises AL; CTS/AF/older cardiac pattern leans ATTRwt,No threshold.,High,Notes; problem list,dyspnea; SOB; exertional dyspnea,Amyloidosis context only.,https://pubmed.ncbi.nlm.nih.gov/34137077/,https://medinform.jmir.org/2026/1/e85803,25.6,25,Tier 5 - weak,5,5,5,2,0.4,Contextual/general amyloidosis evidence; useful mainly when combined with AL-oriented features.
AL19,Fatigue / malaise / weakness,Systemic,Symptoms / note NLP,Nonspecific prodromal clue,Yes,3,1,Nonspecific,High,Large prodrome + comparative EHR,Often early,General medicine presentation,Large prodrome cohort: fatigue/malaise 61%; matched EHR: 40% AL vs 30% ATTRwt.,Frequent early symptom but low specificity.,Nearly every chronic systemic illness can cause it.,Useful only when organ-specific signs accumulate,No threshold.,Moderate-High,Notes; problem list,fatigue; malaise; weakness,Do not score heavily alone.,https://pubmed.ncbi.nlm.nih.gov/34137077/,https://medinform.jmir.org/2026/1/e85803,23,26,Tier 5 - weak,5,5,4.5,2,0.4,Contextual/general amyloidosis evidence; useful mainly when combined with AL-oriented features.
AL34,Edema without documented proteinuria or hypoalbuminemia,Systemic,Exam / diagnosis,Weak contextual clue,Yes,2,1,Nonspecific,High,Comparative EHR,Before diagnosis,General/cardiac/renal presentation,Matched EHR: edema 34% AL vs 32% ATTRwt—essentially nondiscriminatory.,Edema alone adds very little.,"HF, venous disease, liver disease, medications and ATTR overlap.",Becomes meaningful with proteinuria + hypoalbuminemia,No threshold.,High,Problem list; exam,edema; leg swelling; anasarca,Very low weight unless renal cluster present.,https://medinform.jmir.org/2026/1/e85803,https://pubmed.ncbi.nlm.nih.gov/34137077/,20.8,27,Tier 5 - weak,5,5,5,2,0.4,Contextual/general amyloidosis evidence; useful mainly when combined with AL-oriented features.
AL25,Credible chronic inflammatory/autoinflammatory/infectious history + new persistent proteinuria,Inflammatory / renal,Medical history + routine labs,Counter-evidence / differential,Yes,5,1,Counter-evidence ? AA,High,AA guideline + causes systematic review,After sustained inflammatory disease,"RA, Crohn, FMF, chronic infection or another strong AA driver",AA guidelines center suspicion on chronic inflammatory states followed by renal manifestations.,Strongly redirects a renal amyloid phenotype toward AA when the inflammatory driver is credible.,AL and inflammation can coexist; clonal evidence may keep AL active.,Persistent inflammatory driver + inflammatory burden + new proteinuria,No universal CRP/SAA or duration threshold establishes AA.,High,Problem list + rheumatology/infectious + urine labs,RA; Crohn; FMF; TB; bronchiectasis; proteinuria,AL down-weight / AA guardrail.,https://pubmed.ncbi.nlm.nih.gov/36759076/,https://pubmed.ncbi.nlm.nih.gov/31766892/,19,28,Guardrail / differential,5,5,5,5,0.25,Clinically important guardrail/counter-evidence; intentionally down-weighted as an AL-positive signal.
AL30,Older patient with predominantly isolated cardiac phenotype + AF/CTS and little renal/GI/clonal evidence,Cardiac / musculoskeletal,Derived longitudinal phenotype,Counter-evidence / differential,Yes,4,1,Counter-evidence ? ATTRwt,High,Direct comparative EHR synthesis,Before subtype-specific testing,Older cardiac-dominant patient,"ATTRwt had markedly more HF, cardiomyopathy, AF and CTS; AL had more renal/GI/clonal diagnoses.",Practical guardrail against converting 'possible cardiac amyloid' into 'possible AL'.,AL can present cardiac-only; not a hard exclusion.,HF/cardiomyopathy + AF + CTS/spinal stenosis without strong AL-oriented extracardiac context,"Composite synthesis, not validated exclusion rule.",High,Derived across cardiology + procedures,HF; AF; CTS; spinal stenosis; no heavy proteinuria,AL down-weight; route toward ATTR evaluation.,https://medinform.jmir.org/2026/1/e85803,https://pubmed.ncbi.nlm.nih.gov/31975495/,17.5,29,Guardrail / differential,5,5,5,5,0.25,Clinically important guardrail/counter-evidence; intentionally down-weighted as an AL-positive signal.
