atom_id,Clinical name,Attribute key,Readable label,Required value,Rule,Evidence role
lv_wall_measurement,lv wall measurement,abnormal_wall_or_geometry,abnormal wall or geometry,true,QUALIFY_WT10,SUPPORT
lv_wall_measurement,lv wall measurement,otherwise_unexplained,otherwise unexplained,true,QUALIFY_WT10,SUPPORT
lv_relative_wall_thickness,lv relative wall thickness,abnormal_wall_or_geometry,abnormal wall or geometry,true,QUALIFY_WT10,SUPPORT
lv_relative_wall_thickness,lv relative wall thickness,otherwise_unexplained,otherwise unexplained,true,QUALIFY_WT10,SUPPORT
lv_cavity_geometry,lv cavity geometry,abnormal_wall_or_geometry,abnormal wall or geometry,true,QUALIFY_WT10,SUPPORT
lv_cavity_geometry,lv cavity geometry,otherwise_unexplained,otherwise unexplained,true,QUALIFY_WT10,SUPPORT
pacemaker_implantation,pacemaker implantation,documented_conduction_indication,documented conduction indication,true,QUALIFY_WT12,SUPPORT
pacemaker_presence,pacemaker presence,documented_conduction_indication,documented conduction indication,true,QUALIFY_WT12,SUPPORT
as_valve,Aortic stenosis,severe_aortic_stenosis,severe aortic stenosis,true,QUALIFY_WT14,SUPPORT
as_valve,Aortic stenosis,additional_amyloid_clue,additional amyloid clue,true,QUALIFY_WT14,SUPPORT
apical_sparing,Apical sparing (cherry-on-top) on GLS,affirmed_relative_apical_sparing,affirmed relative apical sparing,true,QUALIFY_WT15,SUPPORT
voltage_mass_mismatch,Low ECG voltage relative to LV mass,integrated_discordance_or_pseudoinfarction,integrated discordance or pseudoinfarction,true,QUALIFY_WT16,SUPPORT
pseudo_infarct,Pseudo-infarction Q waves,integrated_discordance_or_pseudoinfarction,integrated discordance or pseudoinfarction,true,QUALIFY_WT16,SUPPORT
age_excessive_snhl,Bilateral sensorineural hearing loss greater than expected for age,sensorineural,sensorineural,true,QUALIFY_WT21,SUPPORT
age_excessive_snhl,Bilateral sensorineural hearing loss greater than expected for age,bilateral,bilateral,true,QUALIFY_WT21,SUPPORT
age_excessive_snhl,Bilateral sensorineural hearing loss greater than expected for age,greater_than_age_expected,greater than age expected,true,QUALIFY_WT21,SUPPORT
ttr_pathogenic_variant,Pathogenic or likely pathogenic TTR variant in the patient,pathogenic_or_likely_pathogenic,pathogenic or likely pathogenic,true,QUALIFY_V01,SUPPORT
ttr_pathogenic_variant,Pathogenic or likely pathogenic TTR variant in the patient,prior_known,prior known,true,QUALIFY_V01,SUPPORT
ttr_pathogenic_variant,Pathogenic or likely pathogenic TTR variant in the patient,prior_cascade_or_predictive_testing,prior cascade or predictive testing,true,QUALIFY_V01,SUPPORT
neuropathic_pain,"Neuropathic pain (burning feet, dysesthesia, allodynia)",small_fiber_distribution,small fiber distribution,true,QUALIFY_V04,SUPPORT
sensory_loss,sensory loss,early_pain_temperature_loss,early pain temperature loss,true,QUALIFY_V04,SUPPORT
sfn,Small-fiber neuropathy,documented_pain_or_temperature_phenotype,documented pain or temperature phenotype,true,QUALIFY_V04,SUPPORT
dysautonomia,Autonomic dysfunction / dysautonomia,early_autonomic_involvement,early autonomic involvement,true,QUALIFY_V05,SUPPORT
fhx_established_attr,First-degree family history of genetically or clinically established ATTR amyloidosis,first_degree,first degree,true,QUALIFY_V07,SUPPORT
fhx_established_attr,First-degree family history of genetically or clinically established ATTR amyloidosis,established_attr,established attr,true,QUALIFY_V07,SUPPORT
fhx_adult_onset_neuropathy,Family history of unexplained adult-onset progressive neuropathy,adult_onset,adult onset,true,QUALIFY_V08,SUPPORT
fhx_adult_onset_neuropathy,Family history of unexplained adult-onset progressive neuropathy,progressive,progressive,true,QUALIFY_V08,SUPPORT
fhx_adult_onset_neuropathy,Family history of unexplained adult-onset progressive neuropathy,otherwise_unexplained,otherwise unexplained,true,QUALIFY_V08,SUPPORT
orthostatic,Orthostatic hypotension,medication_context_assessed,medication context assessed,true,QUALIFY_V09,SUPPORT
orthostatic_intolerance,orthostatic intolerance,recurrent,recurrent,true,QUALIFY_V09,SUPPORT
orthostatic_intolerance,orthostatic intolerance,medication_context_assessed,medication context assessed,true,QUALIFY_V09,SUPPORT
diarrhea,diarrhea,chronic,chronic,true,QUALIFY_V10,SUPPORT
diarrhea,diarrhea,alternating_diarrhea_constipation,alternating diarrhea constipation,true,QUALIFY_V10,SUPPORT
constipation,constipation,alternating_diarrhea_constipation,alternating diarrhea constipation,true,QUALIFY_V10,SUPPORT
gi_dysmotility,Unexplained gastrointestinal dysmotility,otherwise_unexplained,otherwise unexplained,true,QUALIFY_V10,SUPPORT
weight_result,weight result,documented_decline,documented decline,true,QUALIFY_V12,SUPPORT
weight_result,weight result,unintentional,unintentional,true,QUALIFY_V12,SUPPORT
bmi_result,bmi result,documented_decline,documented decline,true,QUALIFY_V12,SUPPORT
bmi_result,bmi result,valid_bmi_method,valid bmi method,true,QUALIFY_V12,SUPPORT
modified_bmi_result,modified bmi result,documented_decline,documented decline,true,QUALIFY_V12,SUPPORT
modified_bmi_result,modified bmi result,valid_modified_bmi_method,valid modified bmi method,true,QUALIFY_V12,SUPPORT
vitreous_opacity,vitreous opacity,ophthalmology_provenance,ophthalmology provenance,true,QUALIFY_V15,SUPPORT
vitreous_opacity,vitreous opacity,pre_recognition,pre recognition,true,QUALIFY_V15,SUPPORT
floaters,floaters,ophthalmology_provenance,ophthalmology provenance,true,QUALIFY_V15,SUPPORT
floaters,floaters,pre_recognition,pre recognition,true,QUALIFY_V15,SUPPORT
floaters,floaters,recurrent,recurrent,true,QUALIFY_V15,SUPPORT
floaters,floaters,dark_floaters,dark floaters,true,QUALIFY_V15,SUPPORT
floaters,floaters,otherwise_unexplained,otherwise unexplained,true,QUALIFY_V15,SUPPORT
scalloped_pupil,Scalloped pupil / characteristic pupillary abnormality,ophthalmology_provenance,ophthalmology provenance,true,QUALIFY_V16,SUPPORT
iris_abnormality,iris abnormality,ophthalmology_provenance,ophthalmology provenance,true,QUALIFY_V16,SUPPORT
iris_abnormality,iris abnormality,characteristic_scalloped_or_fringed_margin,characteristic scalloped or fringed margin,true,QUALIFY_V16,SUPPORT
cardiomyopathy,cardiomyopathy,otherwise_unexplained,otherwise unexplained,true,QUALIFY_V24,SUPPORT
hfpef,Heart failure with preserved ejection fraction,otherwise_unexplained,otherwise unexplained,true,QUALIFY_V24,SUPPORT
thick_walls,Unexplained left-ventricular wall thickness / LVH,otherwise_unexplained,otherwise unexplained,true,QUALIFY_V24,SUPPORT
dysphagia,dysphagia,bulbar_pattern_assessed,bulbar pattern assessed,true,QUALIFY_V28,SUPPORT
dysphagia,dysphagia,otherwise_unexplained,otherwise unexplained,true,QUALIFY_V28,SUPPORT
hoarseness,hoarseness,bulbar_pattern_assessed,bulbar pattern assessed,true,QUALIFY_V28,SUPPORT
hoarseness,hoarseness,otherwise_unexplained,otherwise unexplained,true,QUALIFY_V28,SUPPORT
dysarthria,dysarthria,bulbar_pattern_assessed,bulbar pattern assessed,true,QUALIFY_V28,SUPPORT
dysarthria,dysarthria,otherwise_unexplained,otherwise unexplained,true,QUALIFY_V28,SUPPORT
choking,choking,bulbar_pattern_assessed,bulbar pattern assessed,true,QUALIFY_V28,SUPPORT
choking,choking,otherwise_unexplained,otherwise unexplained,true,QUALIFY_V28,SUPPORT
erectile_dysfunction,erectile dysfunction,accompanying_autonomic_or_neurologic_symptoms,accompanying autonomic or neurologic symptoms,true,QUALIFY_V26,SUPPORT
urinary_retention,urinary retention,accompanying_neuropathy,accompanying neuropathy,true,QUALIFY_V27,SUPPORT
urinary_incontinence,urinary incontinence,accompanying_neuropathy,accompanying neuropathy,true,QUALIFY_V27,SUPPORT
neurogenic_bladder,neurogenic bladder,accompanying_neuropathy,accompanying neuropathy,true,QUALIFY_V27,SUPPORT
pacemaker_implantation,pacemaker implantation,documented_conduction_indication,documented conduction indication,true,QUALIFY_V25,SUPPORT
pacemaker_presence,pacemaker presence,documented_conduction_indication,documented conduction indication,true,QUALIFY_V25,SUPPORT
plantar_ulcer,plantar ulcer,painless,painless,true,QUALIFY_V29,SUPPORT
sensory_loss,sensory loss,anatomically_linked,anatomically linked,true,QUALIFY_V29,CONTEXT
charcot_arthropathy,charcot arthropathy,documented_neuropathic_foot_context,documented neuropathic foot context,true,QUALIFY_V29,SUPPORT
trophic_change,trophic change,documented_neuropathic_foot_context,documented neuropathic foot context,true,QUALIFY_V29,SUPPORT
lower_limb_symptom,lower limb symptom,persistent,persistent,true,QUALIFY_V30,SUPPORT
lower_limb_symptom,lower limb symptom,linked_lumbar_stenosis,linked lumbar stenosis,true,QUALIFY_V30,SUPPORT
lower_limb_symptom,lower limb symptom,persistent,persistent,true,QUALIFY_V30,SUPPORT
lower_limb_symptom,lower limb symptom,persists_after_linked_decompression,persists after linked decompression,true,QUALIFY_V30,SUPPORT
unintentional_weight_loss,Unintentional weight loss / declining BMI,severe,severe,true,QUALIFY_V34,SUPPORT
unintentional_weight_loss,Unintentional weight loss / declining BMI,gi_associated,gi associated,true,QUALIFY_V34,SUPPORT
unintentional_weight_loss,Unintentional weight loss / declining BMI,eating_disorder_attribution_assessed_inadequate,eating disorder attribution assessed inadequate,true,QUALIFY_V34,SUPPORT
plasma_cell_dyscrasia,Plasma-cell dyscrasia / myeloma,established_clonal_diagnosis,established clonal diagnosis,true,QUALIFY_AL01,SUPPORT
plasma_cell_dyscrasia,Plasma-cell dyscrasia / myeloma,prior_known,prior known,true,QUALIFY_AL01,SUPPORT
mgus,Monoclonal gammopathy of undetermined significance,established_mgus,established mgus,true,QUALIFY_AL02,SUPPORT
mgus,Monoclonal gammopathy of undetermined significance,prior_known,prior known,true,QUALIFY_AL02,SUPPORT
hypoalbuminemia,Hypoalbuminemia,linked_albumin_edema_interval,linked albumin edema interval,true,QUALIFY_AL05,SUPPORT
peripheral_edema,Peripheral edema / anasarca,linked_albumin_edema_interval,linked albumin edema interval,true,QUALIFY_AL05,SUPPORT
creatinine_result,creatinine result,documented_rise,documented rise,true,QUALIFY_AL06,SUPPORT
egfr_result,egfr result,documented_fall,documented fall,true,QUALIFY_AL06,SUPPORT
urine_protein_result,urine protein result,abnormal,abnormal,true,QUALIFY_AL06,CONTEXT
mgus,Monoclonal gammopathy of undetermined significance,prior_known,prior known,true,QUALIFY_AL06,CONTEXT
plasma_cell_dyscrasia,Plasma-cell dyscrasia / myeloma,prior_known,prior known,true,QUALIFY_AL06,CONTEXT
macroglossia,Macroglossia / acquired tongue enlargement,acquired_macroglossia,acquired macroglossia,true,QUALIFY_AL07,SUPPORT
ecchymosis,ecchymosis,spontaneous,spontaneous,true,QUALIFY_AL08,SUPPORT
ecchymosis,ecchymosis,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL08,SUPPORT
weight_result,weight result,documented_decline,documented decline,true,QUALIFY_AL09,SUPPORT
abdominal_pain,abdominal pain,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL10,SUPPORT
diarrhea,diarrhea,persistent,persistent,true,QUALIFY_AL11,SUPPORT
constipation,constipation,persistent,persistent,true,QUALIFY_AL11,SUPPORT
dysphagia,dysphagia,persistent,persistent,true,QUALIFY_AL11,SUPPORT
hf_any,Heart failure (any),otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL14,SUPPORT
hfpef,Heart failure with preserved ejection fraction,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL14,SUPPORT
thick_walls,Unexplained left-ventricular wall thickness / LVH,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL15,SUPPORT
thick_walls,Unexplained left-ventricular wall thickness / LVH,obtained_before_amyloid_suspicion,obtained before amyloid suspicion,true,QUALIFY_AL15,SUPPORT
restrictive_filling,Restrictive filling / grade III diastolic dysfunction,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL15,SUPPORT
restrictive_filling,Restrictive filling / grade III diastolic dysfunction,obtained_before_amyloid_suspicion,obtained before amyloid suspicion,true,QUALIFY_AL15,SUPPORT
restrictive_cardiomyopathy,restrictive cardiomyopathy,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL15,SUPPORT
restrictive_cardiomyopathy,restrictive cardiomyopathy,obtained_before_amyloid_suspicion,obtained before amyloid suspicion,true,QUALIFY_AL15,SUPPORT
low_ecg_voltage,ECG low voltage,voltage_or_integrated_pseudoinfarction_finding,voltage or integrated pseudoinfarction finding,true,QUALIFY_AL16,SUPPORT
voltage_mass_mismatch,Low ECG voltage relative to LV mass,voltage_or_integrated_pseudoinfarction_finding,voltage or integrated pseudoinfarction finding,true,QUALIFY_AL16,SUPPORT
pseudo_infarct,Pseudo-infarction Q waves,voltage_or_integrated_pseudoinfarction_finding,voltage or integrated pseudoinfarction finding,true,QUALIFY_AL16,SUPPORT
bnp_result,bnp result,elevated,elevated,true,QUALIFY_AL17,SUPPORT
bnp_result,bnp result,disproportionate_to_clinical_context,disproportionate to clinical context,true,QUALIFY_AL17,SUPPORT
ntprobnp_result,ntprobnp result,elevated,elevated,true,QUALIFY_AL17,SUPPORT
ntprobnp_result,ntprobnp result,disproportionate_to_clinical_context,disproportionate to clinical context,true,QUALIFY_AL17,SUPPORT
troponin_result,troponin result,elevated,elevated,true,QUALIFY_AL17,SUPPORT
troponin_result,troponin result,disproportionate_to_clinical_context,disproportionate to clinical context,true,QUALIFY_AL17,SUPPORT
hepatomegaly,hepatomegaly,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL18,SUPPORT
hepatic_alp_elevation,hepatic alp elevation,hepatic_origin,hepatic origin,true,QUALIFY_AL18,SUPPORT
hepatic_alp_elevation,hepatic alp elevation,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL18,SUPPORT
polyneuropathy,Polyneuropathy / peripheral neuropathy,symmetric_sensorimotor_or_sensory_loss,symmetric sensorimotor or sensory loss,true,QUALIFY_AL24,SUPPORT
sensory_loss,sensory loss,symmetric_sensorimotor_or_sensory_loss,symmetric sensorimotor or sensory loss,true,QUALIFY_AL24,SUPPORT
monoclonal_study_result,monoclonal study result,abnormal_monoclonal_result,abnormal monoclonal result,true,QUALIFY_AL27,SUPPORT
monoclonal_study_result,monoclonal study result,prior_surveillance_indication,prior surveillance indication,true,QUALIFY_AL27,SUPPORT
monoclonal_study_result,monoclonal study result,prior_known,prior known,true,QUALIFY_AL27,SUPPORT
urine_protein_result,urine protein result,abnormal,abnormal,true,QUALIFY_AL27,CONTEXT
urine_protein_result,urine protein result,new,new,true,QUALIFY_AL27,CONTEXT
urine_protein_result,urine protein result,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
bnp_result,bnp result,abnormal,abnormal,true,QUALIFY_AL27,CONTEXT
bnp_result,bnp result,new,new,true,QUALIFY_AL27,CONTEXT
bnp_result,bnp result,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
ntprobnp_result,ntprobnp result,abnormal,abnormal,true,QUALIFY_AL27,CONTEXT
ntprobnp_result,ntprobnp result,new,new,true,QUALIFY_AL27,CONTEXT
ntprobnp_result,ntprobnp result,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
troponin_result,troponin result,abnormal,abnormal,true,QUALIFY_AL27,CONTEXT
troponin_result,troponin result,new,new,true,QUALIFY_AL27,CONTEXT
troponin_result,troponin result,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
nephrotic_range_proteinuria,Nephrotic-range proteinuria,new,new,true,QUALIFY_AL27,CONTEXT
nephrotic_range_proteinuria,Nephrotic-range proteinuria,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
nephrotic_syndrome,Nephrotic syndrome,new,new,true,QUALIFY_AL27,CONTEXT
nephrotic_syndrome,Nephrotic syndrome,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
renal_dysfunction,renal dysfunction,new,new,true,QUALIFY_AL27,CONTEXT
renal_dysfunction,renal dysfunction,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
hf_any,Heart failure (any),new,new,true,QUALIFY_AL27,CONTEXT
hf_any,Heart failure (any),otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
hfpef,Heart failure with preserved ejection fraction,new,new,true,QUALIFY_AL27,CONTEXT
hfpef,Heart failure with preserved ejection fraction,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
cardiomyopathy,cardiomyopathy,new,new,true,QUALIFY_AL27,CONTEXT
cardiomyopathy,cardiomyopathy,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
thick_walls,Unexplained left-ventricular wall thickness / LVH,new,new,true,QUALIFY_AL27,CONTEXT
thick_walls,Unexplained left-ventricular wall thickness / LVH,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
restrictive_filling,Restrictive filling / grade III diastolic dysfunction,new,new,true,QUALIFY_AL27,CONTEXT
restrictive_filling,Restrictive filling / grade III diastolic dysfunction,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
polyneuropathy,Polyneuropathy / peripheral neuropathy,new,new,true,QUALIFY_AL27,CONTEXT
polyneuropathy,Polyneuropathy / peripheral neuropathy,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
sensory_loss,sensory loss,new,new,true,QUALIFY_AL27,CONTEXT
sensory_loss,sensory loss,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
orthostatic,Orthostatic hypotension,new,new,true,QUALIFY_AL27,CONTEXT
orthostatic,Orthostatic hypotension,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
dysautonomia,Autonomic dysfunction / dysautonomia,new,new,true,QUALIFY_AL27,CONTEXT
dysautonomia,Autonomic dysfunction / dysautonomia,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
hypoalbuminemia,Hypoalbuminemia,new,new,true,QUALIFY_AL27,CONTEXT
hypoalbuminemia,Hypoalbuminemia,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
hepatomegaly,hepatomegaly,new,new,true,QUALIFY_AL27,CONTEXT
hepatomegaly,hepatomegaly,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
hepatic_alp_elevation,hepatic alp elevation,new,new,true,QUALIFY_AL27,CONTEXT
hepatic_alp_elevation,hepatic alp elevation,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
early_satiety,early satiety,new,new,true,QUALIFY_AL27,CONTEXT
early_satiety,early satiety,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
nausea,nausea,new,new,true,QUALIFY_AL27,CONTEXT
nausea,nausea,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
vomiting,vomiting,new,new,true,QUALIFY_AL27,CONTEXT
vomiting,vomiting,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
abdominal_pain,abdominal pain,new,new,true,QUALIFY_AL27,CONTEXT
abdominal_pain,abdominal pain,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
diarrhea,diarrhea,new,new,true,QUALIFY_AL27,CONTEXT
diarrhea,diarrhea,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
constipation,constipation,new,new,true,QUALIFY_AL27,CONTEXT
constipation,constipation,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
dysphagia,dysphagia,new,new,true,QUALIFY_AL27,CONTEXT
dysphagia,dysphagia,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
unintentional_weight_loss,Unintentional weight loss / declining BMI,new,new,true,QUALIFY_AL27,CONTEXT
unintentional_weight_loss,Unintentional weight loss / declining BMI,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL27,CONTEXT
hypotension,hypotension,independent_multisystem_context,independent multisystem context,true,QUALIFY_AL29,SUPPORT
syncope,syncope,independent_multisystem_context,independent multisystem context,true,QUALIFY_AL29,SUPPORT
dizziness,dizziness,independent_multisystem_context,independent multisystem context,true,QUALIFY_AL29,SUPPORT
cardiomyopathy,cardiomyopathy,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL33,SUPPORT
cardiomyopathy,cardiomyopathy,assessed_isolated_cardiac_context,assessed isolated cardiac context,true,QUALIFY_AL33,SUPPORT
cardiomegaly,cardiomegaly,otherwise_unexplained,otherwise unexplained,true,QUALIFY_AL33,SUPPORT
cardiomegaly,cardiomegaly,assessed_isolated_cardiac_context,assessed isolated cardiac context,true,QUALIFY_AL33,SUPPORT
peripheral_edema,Peripheral edema / anasarca,proteinuria_and_hypoalbuminemia_not_documented,proteinuria and hypoalbuminemia not documented,true,QUALIFY_AL34,SUPPORT
chronic_inflammatory_arthritis,Chronic inflammatory joint disease,established_inflammatory_arthritis,established inflammatory arthritis,true,QUALIFY_AA01,SUPPORT
fmf,Familial Mediterranean fever / periodic fever syndrome,documented_fmf_or_periodic_fever_subtype,documented fmf or periodic fever subtype,true,QUALIFY_AA02,SUPPORT
autoinflammatory_syndrome,Other chronic autoinflammatory syndrome,documented_fmf_or_periodic_fever_subtype,documented fmf or periodic fever subtype,true,QUALIFY_AA02,SUPPORT
mefv_high_risk_genotype,High-risk MEFV genotype in the patient,documented_risk_genotype,documented risk genotype,true,QUALIFY_AA03,SUPPORT
fmf,Familial Mediterranean fever / periodic fever syndrome,established_fmf,established fmf,true,QUALIFY_AA03,CONTEXT
autoinflammatory_syndrome,Other chronic autoinflammatory syndrome,documented_non_fmf_syndrome,documented non fmf syndrome,true,QUALIFY_AA06,SUPPORT
ibd_inflammatory_driver,Inflammatory bowel disease,established_ibd,established ibd,true,QUALIFY_AA07,SUPPORT
chronic_infection,Chronic or active infection,active_chronic_or_recurrent_infection,active chronic or recurrent infection,true,QUALIFY_AA08,SUPPORT
bronchiectasis,bronchiectasis,active_chronic_or_recurrent_infection,active chronic or recurrent infection,true,QUALIFY_AA08,SUPPORT
skin_soft_tissue_infection,skin soft tissue infection,infected,infected,true,QUALIFY_AA09,SUPPORT
skin_soft_tissue_infection,skin soft tissue infection,chronic_or_recurrent,chronic or recurrent,true,QUALIFY_AA09,SUPPORT
abscess,abscess,infected,infected,true,QUALIFY_AA09,SUPPORT
abscess,abscess,chronic_or_recurrent,chronic or recurrent,true,QUALIFY_AA09,SUPPORT
chronic_wound,chronic wound,infected,infected,true,QUALIFY_AA09,SUPPORT
chronic_wound,chronic wound,chronic_or_recurrent,chronic or recurrent,true,QUALIFY_AA09,SUPPORT
castleman_disease,castleman disease,established_diagnosis,established diagnosis,true,QUALIFY_AA10,SUPPORT
renal_cell_carcinoma,renal cell carcinoma,established_diagnosis,established diagnosis,true,QUALIFY_AA10,SUPPORT
crp_result,crp result,sustained_inflammatory_activity,sustained inflammatory activity,true,QUALIFY_AA10,CONTEXT
crp_result,crp result,linked_precursor_disease,linked precursor disease,true,QUALIFY_AA10,CONTEXT
esr_result,esr result,sustained_inflammatory_activity,sustained inflammatory activity,true,QUALIFY_AA10,CONTEXT
esr_result,esr result,linked_precursor_disease,linked precursor disease,true,QUALIFY_AA10,CONTEXT
saa_result,saa result,sustained_inflammatory_activity,sustained inflammatory activity,true,QUALIFY_AA10,CONTEXT
saa_result,saa result,linked_precursor_disease,linked precursor disease,true,QUALIFY_AA10,CONTEXT
inflammatory_control_assessment,inflammatory control assessment,sustained_inflammatory_activity,sustained inflammatory activity,true,QUALIFY_AA10,CONTEXT
inflammatory_control_assessment,inflammatory control assessment,linked_precursor_disease,linked precursor disease,true,QUALIFY_AA10,CONTEXT
obesity,obesity,documented_severe_obesity,documented severe obesity,true,QUALIFY_AA11,SUPPORT
obesity,obesity,otherwise_unexplained_context,otherwise unexplained context,true,QUALIFY_AA11,SUPPORT
microalbuminuria,Microalbuminuria / low-grade albuminuria,low_grade_albuminuria,low grade albuminuria,true,QUALIFY_AA15,SUPPORT
microalbuminuria,Microalbuminuria / low-grade albuminuria,new_or_persistent,new or persistent,true,QUALIFY_AA15,SUPPORT
hypoalbuminemia,Hypoalbuminemia,linked_renal_protein_loss,linked renal protein loss,true,QUALIFY_AA18,SUPPORT
urine_protein_result,urine protein result,linked_renal_protein_loss,linked renal protein loss,true,QUALIFY_AA18,CONTEXT
nephrotic_range_proteinuria,Nephrotic-range proteinuria,linked_renal_protein_loss,linked renal protein loss,true,QUALIFY_AA18,CONTEXT
nephrotic_syndrome,Nephrotic syndrome,linked_renal_protein_loss,linked renal protein loss,true,QUALIFY_AA18,CONTEXT
diarrhea,diarrhea,persistent_or_intractable,persistent or intractable,true,QUALIFY_AA22,SUPPORT
diarrhea,diarrhea,ibd_and_infection_explanation_assessed_inadequate,ibd and infection explanation assessed inadequate,true,QUALIFY_AA22,SUPPORT
macroglossia,Macroglossia / acquired tongue enlargement,new,new,true,AL26_NEW_UNEXPLAINED_ORGAN,SUPPORT
macroglossia,Macroglossia / acquired tongue enlargement,otherwise_unexplained,otherwise unexplained,true,AL26_NEW_UNEXPLAINED_ORGAN,SUPPORT
nephrotic_range_proteinuria,Nephrotic-range proteinuria,new,new,true,AL26_NEW_UNEXPLAINED_ORGAN,SUPPORT
nephrotic_range_proteinuria,Nephrotic-range proteinuria,otherwise_unexplained,otherwise unexplained,true,AL26_NEW_UNEXPLAINED_ORGAN,SUPPORT
nephrotic_syndrome,Nephrotic syndrome,new,new,true,AL26_NEW_UNEXPLAINED_ORGAN,SUPPORT
