atom_id,Clinical name,Source specialty,Excel sign IDs
orthostatic_intolerance,orthostatic intolerance,NEUROLOGY_AUTONOMIC,V09
other_serosal_effusion,other serosal effusion,SHARED,AL28
pacemaker_icd,Permanent pacemaker or ICD,CARDIOLOGY,
pacemaker_implantation,pacemaker implantation,CARDIOLOGY,"V25, WT12"
pacemaker_presence,pacemaker presence,CARDIOLOGY,"V25, WT12"
paralytic_ileus,paralytic ileus,GASTROENTEROLOGY,AA23
pericardial_effusion,Pericardial effusion,CARDIOLOGY,AL28
periorbital_purpura,Periorbital or pinch purpura,DERMATOLOGY_ORAL,AL08
peripheral_edema,Peripheral edema / anasarca,NEPHROLOGY,"AA19, AL05, AL34"
persistent_lower_limb_symptoms_after_decompression,Persistent lower-limb symptoms after lumbar decompression,ORTHOPEDICS_MSK,
persistent_proteinuria,Persistent proteinuria,NEPHROLOGY,
pinch_purpura,pinch purpura,DERMATOLOGY_ORAL,AL08
plantar_ulcer,plantar ulcer,NEUROLOGY,V29
plasma_cell_dyscrasia,Plasma-cell dyscrasia / myeloma,HEMATOLOGY,AL01
pleural_effusion,pleural effusion,SHARED,AL28
polyneuropathy,Polyneuropathy / peripheral neuropathy,NEUROLOGY,"AL24, V02"
progressive_neuropathy,Progressive neuropathy despite treatment,NEUROLOGY,
progressive_proteinuria,Progressive proteinuria,NEPHROLOGY,
pseudo_infarct,Pseudo-infarction Q waves,CARDIOLOGY,"AL16, WT16"
pyp_grade_2_3,PYP/DPD/HMDP Perugini grade 2–3 cardiac uptake,CARDIOLOGY,
recorded_sex,recorded sex,SHARED,WT23
recurrent_soft_tissue_infection,Recurrent skin or soft-tissue infection,RHEUM_INFLAMMATORY,
reduced_gls,Reduced global longitudinal strain,CARDIOLOGY,
renal_cell_carcinoma,renal cell carcinoma,RHEUM_INFLAMMATORY,AA10
renal_differential_assessment,renal differential assessment,NEPHROLOGY,
renal_dysfunction,renal dysfunction,NEPHROLOGY,"AA21, AL06"
restrictive_cardiomyopathy,restrictive cardiomyopathy,CARDIOLOGY,AL15
restrictive_filling,Restrictive filling / grade III diastolic dysfunction,CARDIOLOGY,AL15
rotator_cuff,Rotator cuff tear / repair,ORTHOPEDICS_MSK,WT08
rotator_cuff_repair,rotator cuff repair,ORTHOPEDICS_MSK,WT08
rv_wall_thick,Right-ventricular wall thickening,CARDIOLOGY,
saa_elevated,Elevated serum amyloid A,RHEUM_INFLAMMATORY,
saa_result,saa result,RHEUM_INFLAMMATORY,AA13
scalloped_pupil,Scalloped pupil / characteristic pupillary abnormality,OPHTHALMOLOGY,V16
sensory_loss,sensory loss,NEUROLOGY,"AL24, V04"
serum_albumin_result,serum albumin result,SHARED,
sfn,Small-fiber neuropathy,NEUROLOGY,V04
shoulder_disorder,shoulder disorder,ORTHOPEDICS_MSK,WT08
skin_soft_tissue_infection,skin soft tissue infection,RHEUM_INFLAMMATORY,AA09
small_lv_cavity,Small LV cavity with preserved EF,CARDIOLOGY,
subjective_weakness,subjective weakness,SHARED,AL19
sudoscan_reduced_esc,Reduced electrochemical skin conductance on SUDOSCAN,NEUROLOGY_AUTONOMIC,V19
syncope,syncope,SHARED,AL29
tavr,Transcatheter aortic valve replacement (TAVR/TAVI),CARDIOLOGY,
thick_walls,Unexplained left-ventricular wall thickness / LVH,CARDIOLOGY,"AL15, V24, WT10"
thickened_ias,Thickened interatrial septum,CARDIOLOGY,
treatment_response_assessment,treatment response assessment,NEUROLOGY,V14
trigger_finger,Trigger finger / stenosing tenosynovitis,ORTHOPEDICS_MSK,WT07
trigger_release,trigger release,ORTHOPEDICS_MSK,WT07
trophic_change,trophic change,NEUROLOGY,V29
trophic_foot_sensory_loss,Painless plantar ulcers / trophic foot changes,NEUROLOGY,
troponin_elevated,Persistent troponin elevation,CARDIOLOGY,
troponin_result,troponin result,CARDIOLOGY,AL17
ttr_pathogenic_variant,Pathogenic or likely pathogenic TTR variant in the patient,SHARED,V01
unintentional_weight_loss,Unintentional weight loss / declining BMI,SHARED,"AL09, V12, V34"
urinary_incontinence,urinary incontinence,NEUROLOGY_AUTONOMIC,V27
urinary_retention,urinary retention,NEUROLOGY_AUTONOMIC,V27
urine_albumin_result,urine albumin result,NEPHROLOGY,
urine_protein_result,urine protein result,NEPHROLOGY,"AA16, AA21, AL03"
urine_sediment_result,urine sediment result,NEPHROLOGY,
valve_thickening,Atrioventricular / aortic valve thickening,CARDIOLOGY,
vitreous_amyloid_opacity,Vitreous opacities / amyloid vitreopathy,OPHTHALMOLOGY,
vitreous_opacity,vitreous opacity,OPHTHALMOLOGY,V15
voltage_mass_mismatch,Low ECG voltage relative to LV mass,CARDIOLOGY,"AL16, WT16"
vomiting,vomiting,GASTROENTEROLOGY,"AL10, V11"
weight_result,weight result,SHARED,"AL09, V12"
