code,meaning,warehouse_row_count,warehouse_patient_count,candidate_origins,amyloid_tier,amyloid_signal_categories,review_bucket,suggested_atom_ids,suggested_atom_names,suggestion_scores,audit_flags
M75.112,"Incomplete rotator cuff tear or rupture of left shoulder, not specified as traumatic",575,74,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 2 — High-specificity diagnostic signals,Musculoskeletal / ATTR prodrome,HIGH_PRIORITY_ATTR_REVIEW,biceps_rupture | rotator_cuff | shoulder_disorder,"Other shoulder disorder | Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"")","rotator_cuff:10.0(phrase;same_icd_category;tokens=cuff,rotator,rupture,shoulder,tear) | shoulder_disorder:5.0(same_icd_category;tokens=cuff,rotator,shoulder) | biceps_rupture:3.0(same_icd_category;tokens=rupture)",EXPLICIT_ALTERNATIVE_ETIOLOGY
Z87.441,Personal history of nephrotic syndrome,93,15,SUPPLIED_465_LIST | SUPPLIED_895_LIST,Tier 2 — High-specificity diagnostic signals,Renal signals,HIGH_PRIORITY_ATTR_REVIEW,,,,
Q38.2,Macroglossia,37,12,SUPPLIED_465_LIST | SUPPLIED_895_LIST,Tier 2 — High-specificity diagnostic signals,GI / hepatobiliary signals,HIGH_PRIORITY_ATTR_REVIEW,,,,
R80.2,"Orthostatic proteinuria, unspecified",46,11,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY,Tier 2 — High-specificity diagnostic signals,Renal signals,HIGH_PRIORITY_ATTR_REVIEW,persistent_proteinuria | progressive_proteinuria,Persistent proteinuria | Progressive proteinuria,persistent_proteinuria:3.0(same_icd_category;tokens=proteinuria) | progressive_proteinuria:3.0(same_icd_category;tokens=proteinuria),
O12.10,"Gestational proteinuria, unspecified trimester",74,10,SUPPLIED_465_LIST | SUPPLIED_895_LIST,Tier 2 — High-specificity diagnostic signals,Renal signals,HIGH_PRIORITY_ATTR_REVIEW,,,,
M75.120,"Complete rotator cuff tear or rupture of unspecified shoulder, not specified as traumatic",25,8,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 2 — High-specificity diagnostic signals,Musculoskeletal / ATTR prodrome,HIGH_PRIORITY_ATTR_REVIEW,biceps_rupture | rotator_cuff | shoulder_disorder,"Other shoulder disorder | Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"")","rotator_cuff:10.0(phrase;same_icd_category;tokens=cuff,rotator,rupture,shoulder,tear) | shoulder_disorder:5.0(same_icd_category;tokens=cuff,rotator,shoulder) | biceps_rupture:3.0(same_icd_category;tokens=rupture)",EXPLICIT_ALTERNATIVE_ETIOLOGY
G90.09,Other idiopathic peripheral autonomic neuropathy,14,4,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 2 — High-specificity diagnostic signals,Neurologic / autonomic signals,HIGH_PRIORITY_ATTR_REVIEW,axonal_neuropathy | dysautonomia | idiopathic_progressive_neuropathy,Autonomic dysfunction / dysautonomia | Axonal neuropathy / axonal polyneuropathy | Idiopathic progressive neuropathy,"dysautonomia:9.0(phrase;same_icd_category;tokens=autonomic,neuropathy) | axonal_neuropathy:3.0(tokens=idiopathic,neuropathy,peripheral) | idiopathic_progressive_neuropathy:3.0(tokens=idiopathic,neuropathy,peripheral)",
N04.20,"Nephrotic syndrome with diffuse membranous glomerulonephritis, unspecified",615,3,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY,Tier 2 — High-specificity diagnostic signals,Renal signals,HIGH_PRIORITY_ATTR_REVIEW,nephrotic_syndrome,Nephrotic syndrome,nephrotic_syndrome:3.0(same_icd_category;tokens=nephrotic),
M75.110,"Incomplete rotator cuff tear or rupture of unspecified shoulder, not specified as traumatic",7,2,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 2 — High-specificity diagnostic signals,Musculoskeletal / ATTR prodrome,HIGH_PRIORITY_ATTR_REVIEW,biceps_rupture | rotator_cuff | shoulder_disorder,"Other shoulder disorder | Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"")","rotator_cuff:10.0(phrase;same_icd_category;tokens=cuff,rotator,rupture,shoulder,tear) | shoulder_disorder:5.0(same_icd_category;tokens=cuff,rotator,shoulder) | biceps_rupture:3.0(same_icd_category;tokens=rupture)",EXPLICIT_ALTERNATIVE_ETIOLOGY
N04.21,Primary membranous nephropathy with nephrotic syndrome,33,2,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY,Tier 2 — High-specificity diagnostic signals,Renal signals,HIGH_PRIORITY_ATTR_REVIEW,nephrotic_syndrome,Nephrotic syndrome,nephrotic_syndrome:3.0(same_icd_category;tokens=nephrotic),
N04.5,Nephrotic syndrome with diffuse mesangiocapillary glomerulonephritis,38,2,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY,Tier 2 — High-specificity diagnostic signals,Renal signals,HIGH_PRIORITY_ATTR_REVIEW,nephrotic_syndrome,Nephrotic syndrome,nephrotic_syndrome:3.0(same_icd_category;tokens=nephrotic),
N04.B2,Nephrotic syndrome with secondary immune complex membranoproliferative glomerulonephritis (IC-MPGN),6,1,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY,Tier 2 — High-specificity diagnostic signals,Renal signals,HIGH_PRIORITY_ATTR_REVIEW,nephrotic_syndrome,Nephrotic syndrome,nephrotic_syndrome:3.0(same_icd_category;tokens=nephrotic),
D47.2,Monoclonal gammopathy,3391,176,SUPPLIED_465_LIST | SUPPLIED_895_LIST | ATOM_PHRASE_MATCH,Tier 2 — High-specificity diagnostic signals,Plasma cell / monoclonal (AL pathway),AL_DIFFERENTIAL_REVIEW,mgus,Monoclonal gammopathy of undetermined significance,"mgus:7.0(phrase;tokens=gammopathy,monoclonal)",
N02.B9,Other recurrent and persistent immunoglobulin A nephropathy,4657,78,SUPPLIED_895_LIST,,Plasma cell / monoclonal (AL pathway) | Renal signals,AL_DIFFERENTIAL_REVIEW,,,,
C90.02,Multiple myeloma in relapse,6846,68,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 2 — High-specificity diagnostic signals,Plasma cell / monoclonal (AL pathway),AL_DIFFERENTIAL_REVIEW,plasma_cell_dyscrasia,Plasma-cell dyscrasia / multiple myeloma,"plasma_cell_dyscrasia:9.0(phrase;same_icd_category;tokens=multiple,myeloma)",
D80.2,Selective deficiency of immunoglobulin A [IgA],332,50,SUPPLIED_895_LIST,,Plasma cell / monoclonal (AL pathway),AL_DIFFERENTIAL_REVIEW,,,,
D80.6,Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinemia,677,33,SUPPLIED_895_LIST,,Plasma cell / monoclonal (AL pathway),AL_DIFFERENTIAL_REVIEW,,,,
D80.3,Selective deficiency of immunoglobulin G [IgG] subclasses,179,18,SUPPLIED_895_LIST,,Plasma cell / monoclonal (AL pathway),AL_DIFFERENTIAL_REVIEW,,,,
D82.4,Hyperimmunoglobulin E [IgE] syndrome,292,17,SUPPLIED_895_LIST,,Plasma cell / monoclonal (AL pathway),AL_DIFFERENTIAL_REVIEW,,,,
C88.0,Waldenstrom macroglobulinemia,574,13,SUPPLIED_465_LIST | SUPPLIED_895_LIST,Tier 2 — High-specificity diagnostic signals,Plasma cell / monoclonal (AL pathway),AL_DIFFERENTIAL_REVIEW,,,,
D80.4,Selective deficiency of immunoglobulin M [IgM],156,13,SUPPLIED_895_LIST,,Plasma cell / monoclonal (AL pathway),AL_DIFFERENTIAL_REVIEW,,,,
D89.1,Cryoglobulinemia,576,10,SUPPLIED_465_LIST | SUPPLIED_895_LIST,Tier 2 — High-specificity diagnostic signals,Plasma cell / monoclonal (AL pathway),AL_DIFFERENTIAL_REVIEW,,,,
C88.00,Waldenstrom macroglobulinemia not having achieved remission,89,7,SUPPLIED_465_LIST | SUPPLIED_895_LIST,Tier 2 — High-specificity diagnostic signals,Plasma cell / monoclonal (AL pathway),AL_DIFFERENTIAL_REVIEW,,,,
D80.5,Immunodeficiency with increased immunoglobulin M [IgM],675,3,SUPPLIED_895_LIST,,Plasma cell / monoclonal (AL pathway),AL_DIFFERENTIAL_REVIEW,,,,
C90.11,Plasma cell leukemia in remission,24,2,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY,Tier 2 — High-specificity diagnostic signals,Plasma cell / monoclonal (AL pathway),AL_DIFFERENTIAL_REVIEW,plasma_cell_dyscrasia,Plasma-cell dyscrasia / multiple myeloma,"plasma_cell_dyscrasia:4.0(same_icd_category;tokens=cell,plasma)",
C90.12,Plasma cell leukemia in relapse,45,1,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY,Tier 2 — High-specificity diagnostic signals,Plasma cell / monoclonal (AL pathway),AL_DIFFERENTIAL_REVIEW,plasma_cell_dyscrasia,Plasma-cell dyscrasia / multiple myeloma,"plasma_cell_dyscrasia:4.0(same_icd_category;tokens=cell,plasma)",
N02.B1,Recurrent and persistent immunoglobulin A nephropathy with glomerular lesion,1,1,SUPPLIED_895_LIST,,Plasma cell / monoclonal (AL pathway) | Renal signals,AL_DIFFERENTIAL_REVIEW,,,,
M54.16,"Radiculopathy, lumbar region",43121,4436,SUPPLIED_895_LIST,,Neurologic / autonomic signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
K59.09,Other constipation,18750,4289,SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY,,GI / hepatobiliary signals,NONSPECIFIC_SUPPORT_REVIEW,constipation,constipation,constipation:3.0(same_icd_category;tokens=constip),
N18.31,"Chronic kidney disease, stage 3a",50473,4261,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 3 — Organ-context signals (nonspecific alone),Renal signals,NONSPECIFIC_SUPPORT_REVIEW,egfr_result | kidney_failure | renal_dysfunction,Estimated glomerular filtration rate | Kidney failure / end-stage renal disease | Renal dysfunction / chronic kidney disease,"renal_dysfunction:10.0(phrase;same_icd_category;tokens=chronic,kidney,stage) | kidney_failure:4.0(same_icd_category;tokens=kidney,stage) | egfr_result:3.0(same_icd_category;tokens=stage)",
N18.32,"Chronic kidney disease, stage 3b",48042,2900,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 3 — Organ-context signals (nonspecific alone),Renal signals,NONSPECIFIC_SUPPORT_REVIEW,egfr_result | kidney_failure | renal_dysfunction,Estimated glomerular filtration rate | Kidney failure / end-stage renal disease | Renal dysfunction / chronic kidney disease,"renal_dysfunction:10.0(phrase;same_icd_category;tokens=chronic,kidney,stage) | kidney_failure:4.0(same_icd_category;tokens=kidney,stage) | egfr_result:3.0(same_icd_category;tokens=stage)",
M54.12,"Radiculopathy, cervical region",19978,2736,SUPPLIED_895_LIST,,Neurologic / autonomic signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
K59.04,Chronic idiopathic constipation,10151,2551,SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY,,GI / hepatobiliary signals,NONSPECIFIC_SUPPORT_REVIEW,constipation | diarrhea | gi_dysmotility,Unexplained gastrointestinal dysmotility | constipation | diarrhea,"constipation:4.0(same_icd_category;tokens=chronic,constip) | diarrhea:3.0(same_icd_category;tokens=chronic) | gi_dysmotility:3.0(same_icd_category;tokens=chronic)",
K59.01,Slow transit constipation,8106,2409,SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,,GI / hepatobiliary signals,NONSPECIFIC_SUPPORT_REVIEW,constipation | gi_dysmotility,Unexplained gastrointestinal dysmotility | constipation,"gi_dysmotility:9.0(phrase;same_icd_category;tokens=slow,transit) | constipation:3.0(same_icd_category;tokens=constip)",
M47.816,"Spondylosis without myelopathy or radiculopathy, lumbar region",30429,2347,SUPPLIED_895_LIST,,Neurologic / autonomic signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
R17,Unspecified jaundice,16558,2101,SUPPLIED_895_LIST,,GI / hepatobiliary signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
K72.90,"Hepatic failure, unspecified without coma",63508,1813,SUPPLIED_895_LIST,,GI / hepatobiliary signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
N18.30,"Chronic kidney disease, stage 3 unspecified",15726,1700,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 3 — Organ-context signals (nonspecific alone),Renal signals,NONSPECIFIC_SUPPORT_REVIEW,egfr_result | kidney_failure | renal_dysfunction,Estimated glomerular filtration rate | Kidney failure / end-stage renal disease | Renal dysfunction / chronic kidney disease,"renal_dysfunction:10.0(phrase;same_icd_category;tokens=chronic,kidney,stage) | kidney_failure:4.0(same_icd_category;tokens=kidney,stage) | egfr_result:3.0(same_icd_category;tokens=stage)",
N18.2,"Chronic kidney disease, stage 2 (mild)",12060,1519,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 3 — Organ-context signals (nonspecific alone),Renal signals,NONSPECIFIC_SUPPORT_REVIEW,egfr_result | kidney_failure | renal_dysfunction,Estimated glomerular filtration rate | Kidney failure / end-stage renal disease | Renal dysfunction / chronic kidney disease,"renal_dysfunction:10.0(phrase;same_icd_category;tokens=chronic,kidney,stage) | kidney_failure:4.0(same_icd_category;tokens=kidney,stage) | egfr_result:3.0(same_icd_category;tokens=stage)",
I65.23,Occlusion and stenosis of bilateral carotid arteries,5298,1115,SUPPLIED_895_LIST,,Musculoskeletal / ATTR prodrome,NONSPECIFIC_SUPPORT_REVIEW,,,,
K76.82,Hepatic encephalopathy,29952,1073,SUPPLIED_895_LIST,,GI / hepatobiliary signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
M47.812,"Spondylosis without myelopathy or radiculopathy, cervical region",5611,878,SUPPLIED_895_LIST,,Neurologic / autonomic signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
I50.23,Acute on chronic systolic (congestive) heart failure,9696,856,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 3 — Organ-context signals (nonspecific alone),Cardiac signals,NONSPECIFIC_SUPPORT_REVIEW,hf_any | hfpef,Heart failure | Heart failure with preserved ejection fraction,"hf_any:10.0(phrase;same_icd_category;tokens=congestive,failure,heart) | hfpef:5.0(same_icd_category;tokens=chronic,failure,heart)",
K74.00,"Hepatic fibrosis, unspecified",8179,719,SUPPLIED_895_LIST,,GI / hepatobiliary signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
K72.10,Chronic hepatic failure without coma,53041,710,SUPPLIED_895_LIST,,GI / hepatobiliary signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
I50.30,Unspecified diastolic (congestive) heart failure,3685,652,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 3 — Organ-context signals (nonspecific alone),Cardiac signals,NONSPECIFIC_SUPPORT_REVIEW,hf_any | hfpef,Heart failure | Heart failure with preserved ejection fraction,"hf_any:10.0(phrase;same_icd_category;tokens=congestive,failure,heart) | hfpef:5.0(same_icd_category;tokens=diastolic,failure,heart)",
K58.1,Irritable bowel syndrome with constipation,2633,625,SUPPLIED_895_LIST,,GI / hepatobiliary signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
K90.49,"Malabsorption due to intolerance, not elsewhere classified",2158,600,SUPPLIED_895_LIST,,GI / hepatobiliary signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
M47.817,"Spondylosis without myelopathy or radiculopathy, lumbosacral region",3909,543,SUPPLIED_895_LIST,,Neurologic / autonomic signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
K58.0,Irritable bowel syndrome with diarrhea,2430,518,SUPPLIED_895_LIST,,GI / hepatobiliary signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
I50.43,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,6302,517,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 3 — Organ-context signals (nonspecific alone),Cardiac signals,NONSPECIFIC_SUPPORT_REVIEW,hf_any | hfpef,Heart failure | Heart failure with preserved ejection fraction,"hf_any:10.0(phrase;same_icd_category;tokens=congestive,failure,heart) | hfpef:5.0(same_icd_category;tokens=chronic,diastolic,failure,heart)",
I50.21,Acute systolic (congestive) heart failure,4601,516,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 3 — Organ-context signals (nonspecific alone),Cardiac signals,NONSPECIFIC_SUPPORT_REVIEW,hf_any | hfpef,Heart failure | Heart failure with preserved ejection fraction,"hf_any:10.0(phrase;same_icd_category;tokens=congestive,failure,heart) | hfpef:4.0(same_icd_category;tokens=failure,heart)",
M47.27,"Other spondylosis with radiculopathy, lumbosacral region",2024,504,SUPPLIED_895_LIST,,Neurologic / autonomic signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
M54.10,"Radiculopathy, site unspecified",2214,469,SUPPLIED_895_LIST,,Neurologic / autonomic signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
M54.17,"Radiculopathy, lumbosacral region",3429,415,SUPPLIED_895_LIST,,Neurologic / autonomic signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
G56.93,Unspecified mononeuropathy of bilateral upper limbs,2501,413,SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY,,Neurologic / autonomic signals,NONSPECIFIC_SUPPORT_REVIEW,cts_bilateral,Bilateral carpal tunnel syndrome,cts_bilateral:3.0(same_icd_category;tokens=bilateral),
M51.16,"Intervertebral disc disorders with radiculopathy, lumbar region",1306,377,SUPPLIED_895_LIST,,Neurologic / autonomic signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
N18.1,"Chronic kidney disease, stage 1",2351,345,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,Tier 3 — Organ-context signals (nonspecific alone),Renal signals,NONSPECIFIC_SUPPORT_REVIEW,egfr_result | kidney_failure | renal_dysfunction,Estimated glomerular filtration rate | Kidney failure / end-stage renal disease | Renal dysfunction / chronic kidney disease,"renal_dysfunction:10.0(phrase;same_icd_category;tokens=chronic,kidney,stage) | kidney_failure:4.0(same_icd_category;tokens=kidney,stage) | egfr_result:3.0(same_icd_category;tokens=stage)",
K72.00,Acute and subacute hepatic failure without coma,9390,340,SUPPLIED_895_LIST,,GI / hepatobiliary signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
G57.93,Unspecified mononeuropathy of bilateral lower limbs,1793,323,SUPPLIED_895_LIST,,Neurologic / autonomic signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
I65.29,Occlusion and stenosis of unspecified carotid artery,1059,319,SUPPLIED_895_LIST,,Musculoskeletal / ATTR prodrome,NONSPECIFIC_SUPPORT_REVIEW,,,,
M32.14,Glomerular disease in systemic lupus erythematosus,29881,283,SUPPLIED_895_LIST | ATOM_PHRASE_MATCH,,Renal signals,NONSPECIFIC_SUPPORT_REVIEW,autoimmune_disease,autoimmune disease,"autoimmune_disease:8.0(phrase;tokens=erythematosu,lupus,systemic)",
I65.21,Occlusion and stenosis of right carotid artery,1881,282,SUPPLIED_895_LIST,,Musculoskeletal / ATTR prodrome,NONSPECIFIC_SUPPORT_REVIEW,,,,
I65.22,Occlusion and stenosis of left carotid artery,1696,270,SUPPLIED_895_LIST,,Musculoskeletal / ATTR prodrome,NONSPECIFIC_SUPPORT_REVIEW,,,,
K59.02,Outlet dysfunction constipation,1056,266,SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY,,GI / hepatobiliary signals,NONSPECIFIC_SUPPORT_REVIEW,constipation | gi_dysmotility,Unexplained gastrointestinal dysmotility | constipation,constipation:3.0(same_icd_category;tokens=constip) | gi_dysmotility:3.0(same_icd_category;tokens=dysfunction),
M47.22,"Other spondylosis with radiculopathy, cervical region",1461,261,SUPPLIED_895_LIST,,Neurologic / autonomic signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
M47.26,"Other spondylosis with radiculopathy, lumbar region",1229,252,SUPPLIED_895_LIST,,Neurologic / autonomic signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
K74.02,"Hepatic fibrosis, advanced fibrosis",1912,251,SUPPLIED_895_LIST,,GI / hepatobiliary signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
R18.0,Malignant ascites,3373,248,SUPPLIED_465_LIST | SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY,Tier 3 — Organ-context signals (nonspecific alone),GI / hepatobiliary signals,NONSPECIFIC_SUPPORT_REVIEW,other_serosal_effusion,Other serosal effusion,other_serosal_effusion:3.0(same_icd_category;tokens=ascite),
N06.9,Isolated proteinuria with unspecified morphologic lesion,1490,235,SUPPLIED_895_LIST,,Renal signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
I63.81,Other cerebral infarction due to occlusion or stenosis of small artery,2993,231,SUPPLIED_895_LIST,,Musculoskeletal / ATTR prodrome,NONSPECIFIC_SUPPORT_REVIEW,,,,
C22.1,Intrahepatic bile duct carcinoma,9601,229,SUPPLIED_895_LIST,,GI / hepatobiliary signals,NONSPECIFIC_SUPPORT_REVIEW,,,,
G56.91,Unspecified mononeuropathy of right upper limb,945,228,SUPPLIED_895_LIST | CONFIGURED_ICD_CATEGORY,,Neurologic / autonomic signals,NONSPECIFIC_SUPPORT_REVIEW,cts_bilateral | cts_right,"Bilateral carpal tunnel syndrome | Carpal tunnel syndrome, right","cts_bilateral:3.0(same_icd_category;tokens=right) | cts_right:3.0(tokens=limb,right,upper)",
