FILE: c:\Users\PAMALI\Desktop\RDDT\results\analysis\schema_and_data_impact_analysis.xlsx
SHEETS: ['Executive_Summary', 'Table_CLAIMS', 'Table_ENCOUNTERS', 'Table_CENSUS', 'Table_LABS', 'Table_SURGICAL_HISTORY', 'Missing_Tables']

================================================================================
SHEET: Executive_Summary
================================================================================
R1: ATTR AMYLOIDOSIS PIPELINE: SCHEMA & DATA IMPACT ANALYSIS ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R2: Evaluation of Old Schema (legacy_ehr_v1) vs New Schema (sample_db_v1) and Data Quality Impacts on Algorithm Stages ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R4: CRITICAL ARCHITECTURAL FINDINGS: | 1. CLAIMS (53.3M rows): 100% of date columns are NULL. While Confirmed Amyloidosis ICD-10 extraction succeeds, the Early Detection Suspicion Pipeline completely halts because evidence qualification discards any row with UNKNOWN_AVAILABILITY_DATE. | 2. ENCOUNTERS (17.4M rows): 99.99999% date population with VISITID linking to CLAIMS.COLUMN1. This provides an immed... ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R7: 1. TABLE STATUS & IMPACT MATRIX ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R8: Table Name || Old Schema Name || New Schema Status || Total Row Count || Distinct Patients || Primary Schema & Data Issues || Pipeline Severity || Operational Impact & Feasibility ||  ||  ||  ||  ||  ||  ||  || 
R20: 2. ALGORITHM STAGE IMPACT SUMMARY ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R21: Stage ID || Pipeline Stage Name || Key Component || Expected Input || Actual Received Input || Stage Status || Failure Mechanism & Consequence || Required Remediation ||  ||  ||  ||  ||  ||  ||  || 
R22: Step 01 || Source Validation || source_schema.py || Declared physical tables & required columns || 4 tables missing; CLAIMS has COLUMN0-21; CENSUS lacks FAMILYID || WARNING || Fails if legacy_ehr_v1 profile is active; succeeds under sample_db_v1 only because missing tables are disabled. || Keep missing tables disabled; maintain sample_db_v1 profile. ||  ||  ||  ||  ||  ||  ||  || 
R23: Step 02 || Candidate Retrieval || candidate_net.py || ICD-10, LOINC, SNOMED codes & NLP seed terms || ICD-10 codes found in CLAIMS; SNOMED found in SURGICAL; LOINC missing; NLP text missing || PARTIAL || Retrieves 929K candidates from CLAIMS ICD-10 and 8.3K from SURGICAL SNOMED. Zero candidates from NLP or Labs. || Proceed with claims candidates; accept reduced sensitivity. ||  ||  ||  ||  ||  ||  ||  || 
R24: Step 03 || Source Events Normalization || source_events.py || Normalized SourceEvents with dates, codes, text || CLAIMS events have event_date=None, text=None; LABS has code_system=None || PARTIAL || Events materialized but lack dates and LOINC code systems. || Join CLAIMS with ENCOUNTERS to assign event_date. ||  ||  ||  ||  ||  ||  ||  || 
R25: Step 03b || Confirmed Amyloidosis Exclusion || known_attr.py / known_al.py || Exact ICD-10 codes (E85.82, E85.81, etc.) || ICD-10 codes 100% available in CLAIMS.COLUMN8 || SUCCESS || Succeeds completely! Confirmed extractor requires no dates, NLP, or procedures. || No changes needed for confirmed-only pass. ||  ||  ||  ||  ||  ||  ||  || 
R26: Step 04 || Atom Matching || atom_matching.py || Structured codes & medSpaCy PhraseMatcher || ICD-10 atoms match; SNOMED atoms match; CPT, LOINC, and NLP atoms fail || PARTIAL || Matches only claims ICD-10 and surgical SNOMED. Cannot match CPT or clinical narrative. || Map text lab names to LOINC; translate CPT rules to ICD-10. ||  ||  ||  ||  ||  ||  ||  || 
R27: Step 05 || Evidence Qualification || evidence_qualification.py || Qualified evidence with valid availability_date <= cutoff || CLAIMS availability_date is None (from null dates) || FATAL BLOCKER || All CLAIMS evidence marked UNKNOWN ('UNKNOWN_AVAILABILITY_DATE') and discarded! || Backfill CLAIMS dates from ENCOUNTERS.VISITDATE. ||  ||  ||  ||  ||  ||  ||  || 
R28: Step 06 || Signal Evaluation || signal_engine.py || Qualified TRUE evidence grouped by clinical signal || Only surgical SNOMED evidence (with valid dates) survives || CRITICAL || Almost all specialty signals (CTS, HF, Neuropathy) from claims fail to fire. || Resolved once CLAIMS dates are backfilled. ||  ||  ||  ||  ||  ||  ||  || 
R29: Step 07 || Reasoning Buckets || bucket_engine.py || Buckets satisfied by qualified signals || Insufficient signals survive evidence qualification || CRITICAL || Buckets cannot reach eligible thresholds. || Resolved once CLAIMS dates are backfilled. ||  ||  ||  ||  ||  ||  ||  || 
R30: Step 08 || Combination Matching || match_engine.py || Multi-specialty rule combinations (A, B, C) || No combinations match due to empty buckets || CRITICAL || Patients route to NO_MATCH or HOLD. || Resolved once CLAIMS dates are backfilled. ||  ||  ||  ||  ||  ||  ||  || 
R31: Step 09-10 || Router & Verdicts || router.py || Phenotype verdicts (ATTRv, ATTRwt, AL) || No phenotype passes generated for non-confirmed patients || CRITICAL || Early detection produces 0 flagged patients. || Resolved once CLAIMS dates are backfilled. ||  ||  ||  ||  ||  ||  ||  || 
R32: Step 11 || Patient Profiles & Export || patient_profile.py || Rich medical profiles, timeline, demographics || Timeline has empty dates; demographics lack family_id/city || DEGRADED || Profiles lack clinical depth and family linkages. || Impute dates and display available demographics. ||  ||  ||  ||  ||  ||  ||  || 

================================================================================
SHEET: Table_CLAIMS
================================================================================
R1: TABLE ANALYSIS: CLAIMS (CLAIM vs CLAIMS) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R3: 1. EMPIRICAL DATA & RUNTIME OVERVIEW ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R4: Total Rows: 53,311,842 | Unique Patients: 929,356 | Unique Claims: 11,103,649 | Distinct ICD-10 Codes: 26,653 | Dates Populated: 0% (53.3M NULLS) | Procedure Codes: 0% (53.3M NULLS) | Notes: 0% (53.3M BLANK) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R6: 2. PREVIOUS SCHEMA VS CURRENT SCHEMA (SIDE-BY-SIDE) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R7: Logical Field Name || Previous Physical Column || Current Physical Column || Previous Data Type || Current Data Type || Schema Change Status || Pipeline Role & Expectation ||  ||  ||  ||  ||  ||  ||  ||  || 
R8: patient_id || Member/PatientId || COLUMN0 || TEXT || TEXT || Renamed (Positional) || Primary patient identifier; 100% populated (929,356 distinct patients). ||  ||  ||  ||  ||  ||  ||  ||  || 
R9: encounter_id || EncounterId/VisitId || COLUMN1 || TEXT || TEXT || Renamed (Positional) || Encounter link; 100% populated (8,153,451 distinct). Links directly to ENCOUNTERS.VISITID. ||  ||  ||  ||  ||  ||  ||  ||  || 
R10: claim_no || N/A || COLUMN2 || N/A || TEXT || Added in New || Claim number; 100% populated (11,103,649 distinct). ||  ||  ||  ||  ||  ||  ||  ||  || 
R11: claim_line_no || N/A || COLUMN3 || N/A || TEXT || Added in New || Claim line number; 100% populated (53,311,842 unique lines). ||  ||  ||  ||  ||  ||  ||  ||  || 
R12: claim_status || N/A || COLUMN4 || N/A || TEXT || Added in New || Claim status; 100% populated (93.16% 'Closed'). ||  ||  ||  ||  ||  ||  ||  ||  || 
R13: date_incurred_from || FromDate || COLUMN5 || TEXT || TEXT || Renamed (Positional) || Service start date; 100% NULL in current data (53,311,842 nulls). ||  ||  ||  ||  ||  ||  ||  ||  || 
R14: date_incurred_to || ToDate || COLUMN6 || TEXT || TEXT || Renamed (Positional) || Service end date; 100% NULL in current data (53,311,842 nulls). ||  ||  ||  ||  ||  ||  ||  ||  || 
R15: diagnosis_type || DiagnosisType || COLUMN7 || TEXT || TEXT || Renamed (Positional) || Diagnosis code system; 100% populated with 'ICD-10-CM'. ||  ||  ||  ||  ||  ||  ||  ||  || 
R16: diagnosis_code || DiagnosisCode || COLUMN8 || TEXT || TEXT || Renamed (Positional) || Primary diagnosis code; 100% populated with 26,653 distinct ICD-10 codes. ||  ||  ||  ||  ||  ||  ||  ||  || 
R17: provider_npi || N/A || COLUMN9 || N/A || TEXT || Added in New || Rendering NPI; 100% populated (5,511 distinct, 6.2M '*Unspecified'). ||  ||  ||  ||  ||  ||  ||  ||  || 
R18: provider_name || N/A || COLUMN10 || N/A || TEXT || Added in New || Provider name; 100% empty string. ||  ||  ||  ||  ||  ||  ||  ||  || 
R19: provider_type || ProviderType || COLUMN11 || TEXT || TEXT || Renamed (Positional) || Provider taxonomy/type; 100% empty string. ||  ||  ||  ||  ||  ||  ||  ||  || 
R20: specialty_code || SpecialtyCode || COLUMN12 || TEXT || TEXT || Renamed (Positional) || Specialty code; 100% empty string. ||  ||  ||  ||  ||  ||  ||  ||  || 
R21: specialty_name || SpecialtyName || COLUMN13 || TEXT || TEXT || Renamed (Positional) || Specialty name; 100% empty string. ||  ||  ||  ||  ||  ||  ||  ||  || 
R22: provider_tax_id || N/A || COLUMN14 || N/A || TEXT || Added in New || Tax ID; 100% empty string. ||  ||  ||  ||  ||  ||  ||  ||  || 
R23: drg_code || DRGCode || COLUMN15 || TEXT || TEXT || Renamed (Positional) || Inpatient DRG; 100% NULL / empty string. ||  ||  ||  ||  ||  ||  ||  ||  || 
R24: rev_code || N/A || COLUMN16 || N/A || TEXT || Added in New || Revenue code; 100% NULL / empty string. ||  ||  ||  ||  ||  ||  ||  ||  || 
R25: other_diagnosis_9 || OtherDiagnosisCodes9 || COLUMN17 || TEXT || TEXT || Renamed (Positional) || Secondary ICD-9 codes; 100% NULL. ||  ||  ||  ||  ||  ||  ||  ||  || 
R26: other_diagnosis_10 || OtherDiagnosisCodes10 || COLUMN18 || TEXT || TEXT || Renamed (Positional) || Secondary ICD-10 codes; 100% NULL. ||  ||  ||  ||  ||  ||  ||  ||  || 
R27: from_date || FromDate || COLUMN19 || TEXT || TEXT || Renamed (Positional) || Pipeline encounter window from_date; 100% NULL. ||  ||  ||  ||  ||  ||  ||  ||  || 
R28: to_date || ToDate || COLUMN20 || TEXT || TEXT || Renamed (Positional) || Pipeline encounter window to_date; 100% NULL. ||  ||  ||  ||  ||  ||  ||  ||  || 
R29: clinical_notes || ClinicalNotes || COLUMN21 || TEXT || TEXT || Renamed (Positional) || Free text clinical narrative on claim; 100% NULL / empty string. ||  ||  ||  ||  ||  ||  ||  ||  || 
R30: procedure_code || ProcedureCode || UNMAPPED || TEXT || N/A || REMOVED / UNMAPPED || CPT/HCPCS procedure codes; completely absent/unmapped in new schema. ||  ||  ||  ||  ||  ||  ||  ||  || 
R31: procedure_modifier_1 || ProcedureModifier1 || UNMAPPED || TEXT || N/A || REMOVED / UNMAPPED || Procedure modifier 1; completely unmapped / 100% null. ||  ||  ||  ||  ||  ||  ||  ||  || 
R32: procedure_modifier_2 || ProcedureModifier2 || UNMAPPED || TEXT || N/A || REMOVED / UNMAPPED || Procedure modifier 2; completely unmapped / 100% null. ||  ||  ||  ||  ||  ||  ||  ||  || 
R33: procedure_modifier_3 || ProcedureModifier3 || UNMAPPED || TEXT || N/A || REMOVED / UNMAPPED || Procedure modifier 3; completely unmapped / 100% null. ||  ||  ||  ||  ||  ||  ||  ||  || 
R35: 3. ISSUES WITH CURRENT SCHEMA (AS PER ALGORITHM REQUIREMENTS) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R36: • Generic positional column naming (COLUMN0..COLUMN21) replaces meaningful clinical column names, making queries highly brittle to upstream schema shifts. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R37: • No procedure code (CPT/HCPCS) column is mapped or exposed in the new schema. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R38: • Procedure modifiers (1, 2, 3) are completely unmapped. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R39: • Both primary service dates (COLUMN5, COLUMN6) and encounter window dates (COLUMN19, COLUMN20) exist as columns but are entirely unpopulated. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R41: 4. ISSUES WITH CURRENT DATA (EMPIRICAL FINDINGS) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R42: • 100% NULL Dates: Every single date field (COLUMN5, COLUMN6, COLUMN19, COLUMN20) is NULL across all 53,311,842 rows. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R43: • 100% NULL Procedure Codes: 0 procedure codes are present, preventing CPT-based surgical or diagnostic identification. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R44: • 100% NULL Clinical Notes: COLUMN21 is entirely blank, providing zero narrative text for NLP PhraseMatcher. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R45: • 100% Blank Provider Specialty: COLUMN12 and COLUMN13 are empty strings, preventing provider specialty routing (Cardiology vs Orthopedics vs Neurology). ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R46: • 100% NULL Secondary Diagnoses: COLUMN17 (ICD-9) and COLUMN18 (ICD-10) are completely unpopulated. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R48: 5. HOW IT AFFECTS OUR CURRENT ALGORITHM & PIPELINE ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R49: • Confirmed Amyloidosis Extractor (First-Run): SUCCEEDS. Matches exact ICD-10 codes (E85.82, E85.81, E85.4, etc.) in COLUMN8. It does not require dates, NLP, or CPT codes. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R50: • Early Detection Suspicion Pipeline: COMPLETELY BLOCKS / FAILS. In source_events.py, event_date is None. In extraction_contract.py, available_date is None. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R51: • In evidence_qualification.py (lines 465-467): _on_or_before(available_date, cutoff) evaluates to None. All evidence is assigned status UNKNOWN with reason 'UNKNOWN_AVAILABILITY_DATE'. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R52: • Because evidence status is UNKNOWN, eligible_evidence() returns None. No clinical atom can ever fire from claims data. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R53: • CPT Atoms Blocked: Atoms requiring procedure codes (e.g. Carpal Tunnel Release CPT 64721, Heart Biopsy CPT 93505) cannot match at all. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R54: • Specialty Routing Blocked: The algorithm cannot verify whether a claim originated from a Cardiologist or Neurologist. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R56: 6. WHAT CHANGES WE NEED TO MAKE TO OUR ALGORITHM / PIPELINE ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R57: • DATE BACKFILL BRIDGE: Join CLAIMS with ENCOUNTERS on CLAIMS.COLUMN1 = ENCOUNTERS.VISITID and impute event_date and available_date from ENCOUNTERS.VISITDATE. (Verified: 100% of CLAIMS have COLUMN1, and ENCOUNTERS is 99.99999% populated with valid dates). ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R58: • RELAX REQUIRED COLUMNS: In v4/config/source_schema.json, remove from_date and to_date from required_columns for claims so that initial validation does not fail. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R59: • DIAGNOSIS-BASED SPECIALTY INFERENCE: Infer clinical specialty from ICD-10 code chapters (e.g., I44/I50 -> Cardiology; M75/G56 -> Orthopedics; G60/G62 -> Neurology) rather than relying on empty specialty columns. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R60: • CPT TO ICD-10 FALLBACK: For procedure atoms, allow equivalent ICD-10 diagnosis codes (e.g. bilateral CTS diagnosis G56.03 instead of CPT 64721) to satisfy the clinical signal. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 

================================================================================
SHEET: Table_ENCOUNTERS
================================================================================
R1: TABLE ANALYSIS: ENCOUNTERS (ENCOUNTER_VISIT vs ENCOUNTERS) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R3: 1. EMPIRICAL DATA & RUNTIME OVERVIEW ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R4: Total Rows: 17,429,113 | Unique Encounters: 16,334,743 | Unique Patients: 1,056,034 | Date Population: 99.99999% (1 NULL) | Date Span: 2004-06-11 to 2027-09-09 | Future Dates: 38,878 rows ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R6: 2. PREVIOUS SCHEMA VS CURRENT SCHEMA (SIDE-BY-SIDE) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R7: Logical Field Name || Previous Physical Column || Current Physical Column || Previous Data Type || Current Data Type || Schema Change Status || Pipeline Role & Expectation ||  ||  ||  ||  ||  ||  ||  ||  || 
R8: encounter_id || EncounterId/VisitId || VISITID || TEXT || TEXT || Renamed || Primary visit identifier; 100% populated (16,334,743 unique encounters). ||  ||  ||  ||  ||  ||  ||  ||  || 
R9: patient_id || Member/PatientId || PATIENTID || TEXT || TEXT || Renamed || Patient identifier; 100% populated (1,056,034 unique patients). ||  ||  ||  ||  ||  ||  ||  ||  || 
R10: encounter_date || Encounter/Visit Date || VISITDATE || TEXT || TEXT || Renamed || Clinical encounter date; 99.99999% populated (only 1 null out of 17.4M rows!). ||  ||  ||  ||  ||  ||  ||  ||  || 
R11: facility_id || N/A || FACILITYID || N/A || TEXT || Added in New || Facility identifier; 100% populated (690 distinct facilities). ||  ||  ||  ||  ||  ||  ||  ||  || 
R12: physician_id || N/A || PHYSICIANID || N/A || TEXT || Added in New || Physician identifier; 100% populated (3,753 distinct physicians). ||  ||  ||  ||  ||  ||  ||  ||  || 
R13: visit_type || N/A || TYPE || N/A || TEXT || Added in New || Visit setting/type (e.g. Inpatient, Outpatient, Emergency, Hemodialysis). ||  ||  ||  ||  ||  ||  ||  ||  || 
R14: financial_class || N/A || FINANCIALCLASS || N/A || TEXT || Added in New || Payer financial class (e.g. Medicaid Managed Care, Medicare). ||  ||  ||  ||  ||  ||  ||  ||  || 
R15: status || N/A || STATUS || N/A || TEXT || Added in New || Encounter status (73.32% 'Completed', 'Cancelled', etc.). ||  ||  ||  ||  ||  ||  ||  ||  || 
R17: 3. ISSUES WITH CURRENT SCHEMA (AS PER ALGORITHM REQUIREMENTS) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R18: • Table renamed from ENCOUNTER_VISIT to ENCOUNTERS. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R19: • Column names renamed from mixed-case slashes ('EncounterId/VisitId') to clean uppercase ('VISITID', 'VISITDATE'). ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R20: • 5 new columns added (FACILITYID, PHYSICIANID, TYPE, FINANCIALCLASS, STATUS) which provide valuable context but were not in the legacy schema. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R22: 4. ISSUES WITH CURRENT DATA (EMPIRICAL FINDINGS) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R23: • 38,878 future dates (dates after 2026-09-21, up to 2027-09-09) representing future scheduled visits. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R24: • 1,094,370 duplicate encounter IDs where multiple rows share the same VISITID across different service types or statuses. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R26: 5. HOW IT AFFECTS OUR CURRENT ALGORITHM & PIPELINE ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R27: • Table is currently disabled (enabled: false) in sample_db_v1 because V4 did not directly extract clinical atoms from encounters. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R28: • Future dates, if ingested without filtering, would be flagged as is_future=True and marked 'FUTURE_OR_PLANNED_MENTION' (UNKNOWN) in evidence qualification. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R29: • Encounter dates are the critical missing link for CLAIMS. Because CLAIMS.COLUMN1 connects to ENCOUNTERS.VISITID, keeping ENCOUNTERS disabled deprives CLAIMS of its only date source. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R31: 6. WHAT CHANGES WE NEED TO MAKE TO OUR ALGORITHM / PIPELINE ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R32: • ENABLE TABLE: In v4/config/source_schema.json, set encounter.enabled = true. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R33: • IMPLEMENT DATE BRIDGE JOIN: Use ENCOUNTERS as a date lookup table to populate CLAIMS event_date and available_date. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R34: • FILTER FUTURE DATES: Add WHERE VISITDATE <= CURRENT_DATE() when querying ENCOUNTERS to exclude future scheduled appointments. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R35: • DE-DUPLICATE GRAIN: Aggregate by VISITID taking MIN(VISITDATE) to ensure clean 1:1 encounter date mapping. ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 

================================================================================
SHEET: Table_CENSUS
================================================================================
R1: TABLE ANALYSIS: CENSUS (CENSUS vs CENSUS) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R3: 1. EMPIRICAL DATA & RUNTIME OVERVIEW ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R4: Total Rows: 2,794,815 | Unique Patients: 2,794,815 (1:1 Grain) | Gender: 51.3% F, 48.1% M | Birth Date: 96.64% populated (94K null) | Family ID: 0% (Column Absent) | Demographics: 100% Blank Strings ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R6: 2. PREVIOUS SCHEMA VS CURRENT SCHEMA (SIDE-BY-SIDE) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
R7: Logical Field Name || Previous Physical Column || Current Physical Column || Previous Data Type || Current Data Type || Schema Change Status || Pipeline Role & Expectation ||  ||  ||  ||  ||  ||  ||  ||  || 
R8: patient_id || Member/PatientId || PATIENTID || TEXT || TEXT || Renamed || Unique patient identifier; 100% populated (2,794,815 distinct patients). ||  ||  ||  ||  ||  ||  ||  ||  || 
R9: birth_date || BirthDate || BIRTHDATE || TEXT || TEXT || Renamed || Patient birth date; 96.64% populated (94,045 missing). Clustered in 51-60 age group. ||  ||  ||  ||  ||  ||  ||  ||  || 
R10: gender || Gender || GENDER || TEXT || TEXT || Renamed || Patient gender; 100% populated (51.29% F, 48.05% M, 0.66% U). ||  ||  ||  ||  ||  ||  ||  ||  || 
R11: city || City || CITY || TEXT || TEXT || Renamed || Patient city; 100% blank strings in data. ||  ||  ||  ||  ||  ||  ||  ||  || 
